tract_code,Total_Popupation,Total_Households,Median_Household_Income,state_fips,county_fips
710200,19137,6063,106288,48,071
710600,0,0,-666666666,48,071
710100,8726,3050,76944,48,071
710300,2985,974,61063,48,071
710500,3718,1312,39672,48,071
551400,5130,1917,77266,48,201
552500,11478,3556,58893,48,201
210700,2657,745,40121,48,201
211000,1941,689,34261,48,201
211900,5478,1409,35275,48,201
220500,3606,1761,17616,48,201
221300,9920,2481,43191,48,201
221400,5977,1801,35568,48,201
221500,8350,2602,28984,48,201
221800,4000,1065,31899,48,201
221900,4790,1252,42813,48,201
222600,5109,1981,26467,48,201
222700,5773,2131,20131,48,201
230700,2873,995,26383,48,201
230900,4227,1621,22198,48,201
231200,6998,2191,35998,48,201
241000,8901,2968,61179,48,201
252900,8103,2992,54693,48,201
253900,4218,1670,53971,48,201
254000,3967,1474,47125,48,201
254300,5221,1812,44899,48,201
310600,5874,2050,34587,48,201
312000,5287,587,74219,48,201
211100,5953,1937,28475,48,201
313500,2862,850,40357,48,201
313700,2265,903,43679,48,201
323000,7422,2134,31385,48,201
323300,3807,1159,34176,48,201
331800,4208,1187,32823,48,201
332100,3424,920,36781,48,201
333000,3425,1001,59321,48,201
333700,3395,958,47803,48,201
521900,6705,2514,80528,48,201
533600,5468,1862,32354,48,201
542500,3039,1353,73631,48,201
341800,2061,777,79792,48,201
340100,6677,2558,48391,48,201
340500,6861,2863,47250,48,201
342500,5641,2161,77163,48,201
342700,4863,1718,65640,48,201
343000,7070,2552,65084,48,201
411100,3872,1554,164722,48,201
412600,3941,1261,250001,48,201
420300,3794,1653,106094,48,201
421500,7875,2858,29468,48,201
531500,3014,1247,59188,48,201
531700,3425,1273,131932,48,201
312300,1894,911,33854,48,201
312800,2514,663,12260,48,201
312900,4022,1630,39816,48,201
350200,8691,2753,72936,48,201
340900,5036,2118,51368,48,201
342100,4212,1419,74283,48,201
350500,7912,2347,49480,48,201
410500,4630,2536,102778,48,201
411700,3208,1832,67700,48,201
430800,5633,2331,120436,48,201
431700,4596,1998,188571,48,201
432500,5501,2435,28813,48,201
450200,5244,1846,138500,48,201
451800,5792,2003,58089,48,201
452600,8907,2606,37337,48,201
233600,2095,779,30272,48,201
240400,8110,2403,52276,48,201
252700,4157,1537,42403,48,201
252800,6917,2239,52930,48,201
253100,11333,3147,110276,48,201
310100,5327,2540,66221,48,201
411400,2711,1164,224500,48,201
420500,3925,1217,31076,48,201
220400,4190,1255,38640,48,201
332900,5220,1410,36346,48,201
410300,2874,1669,111299,48,201
430400,3398,1190,250001,48,201
433400,4785,1772,32083,48,201
452300,2405,746,36688,48,201
241300,11354,3929,96536,48,201
253000,4464,1515,53313,48,201
310900,5322,1754,28750,48,201
552200,7798,2777,59716,48,201
310300,4859,1906,43992,48,201
311500,7433,2147,44170,48,201
311900,2600,712,43295,48,201
312500,3325,1689,94337,48,201
313300,2444,1006,42879,48,201
330400,4897,1553,41701,48,201
321000,9294,2608,50068,48,201
322700,7850,2176,54627,48,201
323600,7829,3151,51630,48,201
332400,3906,1382,34270,48,201
333300,10546,3209,34469,48,201
660300,11489,3730,101747,48,039
661000,7242,2337,72321,48,039
661100,3595,1190,53722,48,039
661700,2976,1108,78830,48,039
662200,7375,2418,72539,48,039
663800,6288,2417,56250,48,039
333800,10980,3165,52811,48,201
340700,8147,2705,73198,48,201
343100,4823,1709,79355,48,201
343200,5233,1680,108258,48,201
350400,6758,1967,55811,48,201
211400,3837,1478,29045,48,201
211500,6929,1922,31250,48,201
211600,2749,1086,30102,48,201
320200,5548,1710,43672,48,201
321700,3307,996,69085,48,201
322600,5772,1700,49440,48,201
323500,5905,1945,31139,48,201
330200,4263,1215,48616,48,201
330500,5048,1343,50580,48,201
330700,9909,2479,49702,48,201
331200,3285,1373,26612,48,201
331500,9730,2974,52926,48,201
332300,3143,937,41406,48,201
