Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
10/1/18,0,"False pretenses, swindle",,1,20G40,"Residence, Home (Includes Apartment)",2200-2299,KIRKWOOD,RD,S
10/1/18,0,From coin-operated machine or device,,1,1.70E+11,"Residence, Home (Includes Apartment)",6700-6799,DE MOSS,DR,
10/1/18,0,From coin-operated machine or device,,1,19G10,"Residence, Home (Includes Apartment)",8600-8699,SOUTH COURSE,DR,
10/1/18,0,Intimidation,,1,1A50,"Residence, Home (Includes Apartment)",3900-3999,ESSEX,LN,
10/1/18,0,"False pretenses, swindle",,1,8C50,"Residence, Home (Includes Apartment)",9700-9799,MESA,DR,
10/1/18,0,All other offenses,,1,19G10,"Highway, Road, Street, Alley",9500-9599,BISSONNET,ST,
10/1/18,0,Aggravated Assault,,1,3B50,"Bar, Nightclub",4400-4499,NORTH,FWY,
10/1/18,0,Simple assault,,1,3B50,"Bar, Nightclub",4400-4499,NORTH,FWY,
10/1/18,0,"Drug, narcotic violations",,1,1A10,"Bar, Nightclub",1700-1799,MAIN,ST,
10/1/18,0,Simple assault,,1,5F10,"Parking Lot, Garage",7600-7699,KATY,FWY,
10/1/18,0,Driving under the influence,,1,13D10,"Highway, Road, Street, Alley",6200-6299,GULF,FWY,
10/1/18,0,Trespass of real property,,1,18F30,"Bar, Nightclub",3100-3199,FOUNTAIN,VIEW,
10/1/18,0,"Drug, narcotic violations",,1,13D20,"Highway, Road, Street, Alley",6500-6599,WESTOVER,ST,
10/1/18,0,Weapon law violations,,1,13D20,"Highway, Road, Street, Alley",6500-6599,WESTOVER,ST,
10/1/18,0,All other offenses,,1,13D20,"Highway, Road, Street, Alley",6500-6599,WESTOVER,ST,
10/1/18,0,"Drug, narcotic violations",,1,10H50,"Highway, Road, Street, Alley",2900-2999,BRAILSFORT,,
10/1/18,0,All other offenses,,1,8C10,"Other, Unknown",7700-7799,SAYERS,ST,
10/1/18,0,Intimidation,,1,19G10,"Residence, Home (Includes Apartment)",9200-9299,WOODFAIR,DR,
10/1/18,0,"Destruction, damage, vandalism",,1,1A10,"Bar, Nightclub",900-999,TEXAS,ST,
10/1/18,0,Aggravated Assault,,1,1A50,"Residence, Home (Includes Apartment)",4700-4799,OAKSHIRE,DR,
10/1/18,0,Stolen property offenses,,1,6B20,"Parking Lot, Garage",5600-5699,YALE,ST,
10/1/18,0,Trespass of real property,,1,6B20,"Parking Lot, Garage",5600-5699,YALE,ST,
10/1/18,0,Simple assault,,1,2A30,"Residence, Home (Includes Apartment)",1100-1199,STUDE,ST,
10/1/18,0,Simple assault,,1,2A50,"Highway, Road, Street, Alley",4300-4399,CHESTER,ST,
10/1/18,0,Shoplifting,,1,14D40,Convenience Store,5300-5399,SELINSKY,RD,
10/1/18,0,Theft of motor vehicle parts or accessory,,1,20G40,"Parking Lot, Garage",1900-1999,KIRKWOOD,RD,S
10/1/18,0,Theft from motor vehicle,,1,22B10,"Parking Lot, Garage",13500-13599,BRETON RIDGE,ST,
10/1/18,0,Driving under the influence,,1,6B10,"Highway, Road, Street, Alley",7300-7399,AIRLINE,DR,
10/1/18,0,"Drug, narcotic violations",,1,1.60E+21,"Other, Unknown",4300-4399,OREM,DR,W
10/1/18,0,Aggravated Assault,,1,2A30,Restaurant,2700-2799,HOUSTON,AVE,
10/1/18,0,Theft from motor vehicle,,1,3B10,"Parking Lot, Garage",12400-12499,NORTHWEST,FWY,
10/1/18,0,Identify theft,,1,11H40,"Other, Unknown",4900-4999,FALVEY,ST,
10/1/18,0,"Credit card, ATM fraud",,1,2A30,"Other, Unknown",700-799,SHEPHERD,DR,N
10/1/18,0,Identify theft,,1,14D10,"Other, Unknown",5300-5399,DEWBERRY,ST,
10/1/18,0,Identify theft,,1,1A50,"Other, Unknown",5100-5199,BUFFALO SPEEDWAY,,
10/1/18,0,All other larceny,,1,20G10,"Parking Lot, Garage",3600-3699,WOODCHASE,DR,
10/1/18,0,Impersonation,,1,10H50,"Residence, Home (Includes Apartment)",3700-3799,BREMOND,ST,
10/1/18,0,All other larceny,,1,10H50,"Other, Unknown",3500-3599,SCOTT,ST,
10/1/18,0,Theft from motor vehicle,,1,8C20,"Residence, Home (Includes Apartment)",6900-6999,JAY,,
10/1/18,0,Intimidation,,1,6B10,"Other, Unknown",12400-12499,FOXRIDGE,DR,
10/1/18,0,Impersonation,,1,11H20,"Other, Unknown",7000-7099,MOSSROSE,,
10/1/18,0,All other larceny,,1,10H50,"Other, Unknown",3500-3599,ELGIN,ST,
10/1/18,0,Identify theft,,1,7C20,"Residence, Home (Includes Apartment)",5300-5399,LELIA,,
10/1/18,0,"Burglary, Breaking and Entering",,1,11H10,"Residence, Home (Includes Apartment)",7500-7599,AVENUE,,
10/1/18,0,"Credit card, ATM fraud",,1,7C10,"Other, Unknown",5300-5399,COKE,ST,
10/1/18,0,All other larceny,,1,18F40,"Residence, Home (Includes Apartment)",6300-6399,CHEVY CHASE,,
10/1/18,0,Simple assault,,1,6B20,"Residence, Home (Includes Apartment)",100-199,ANABEL,LN,
10/1/18,0,"Murder, non-negligent",,1,1.70E+41,"Residence, Home (Includes Apartment)",11000-11099,BELLBROOK,DR,
10/1/18,0,Aggravated Assault,,1,1.70E+41,"Residence, Home (Includes Apartment)",11000-11099,BELLBROOK,DR,
10/1/18,0,Intimidation,,1,14D20,Industrial Site,3700-3799,HOLMES,RD,
10/1/18,0,All other larceny,,1,8C60,"Other, Unknown",6700-6799,MOUNT HOUSTON,RD,E
10/1/18,0,All other larceny,,1,8C10,"Other, Unknown",8700-8799,HIRSCH,,
10/1/18,1,All other offenses,,1,7C30,"Highway, Road, Street, Alley",2900-2999,WIMBERLY,,
10/1/18,1,"Drug, narcotic violations",,1,1.60E+31,"Highway, Road, Street, Alley",13000-13099,HIRAM CLARKE,RD,
