Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
11/1/18,0,From coin-operated machine or device,,1,3B10,"Residence, Home (Includes Apartment)",3700-3799,WATONGA,BLVD,
11/1/18,0,From coin-operated machine or device,,1,1.70E+11,"Residence, Home (Includes Apartment)",6700-6799,DE MOSS,DR,
11/1/18,0,From coin-operated machine or device,,1,19G10,"Residence, Home (Includes Apartment)",8600-8699,SOUTH COURSE,DR,
11/1/18,0,All other larceny,,1,11H10,"Residence, Home (Includes Apartment)",900-999,VILLA DE MATEL,RD,
11/1/18,0,"False pretenses, swindle",,1,9C40,"Bank, Savings & Loan",12600-12699,EAST,FWY,
11/1/18,0,"Credit card, ATM fraud",,1,1.70E+41,"Residence, Home (Includes Apartment)",12200-12299,FONDREN,RD,
11/1/18,0,"False pretenses, swindle",,1,10H50,"Residence, Home (Includes Apartment)",3400-3499,BEULAH,ST,
11/1/18,0,"Credit card, ATM fraud",,1,9C30,"Other, Unknown",10000-10099,WALLISVILLE,RD,
11/1/18,0,Simple assault,,1,13D10,"Residence, Home (Includes Apartment)",6000-6099,CHERRYHILL,ST,
11/1/18,0,Theft from motor vehicle,,1,2A30,"Highway, Road, Street, Alley",3200-3299,HOUSTON,AVE,
11/1/18,0,All other offenses,,1,13D20,"Highway, Road, Street, Alley",8500-8599,IH 45,FWY,S
11/1/18,0,"Destruction, damage, vandalism",,1,1.70E+11,"Parking Lot, Garage",5300-5399,RICE,AVE,S
11/1/18,0,Robbery,,1,10H50,"Highway, Road, Street, Alley",3000-3099,GULF,FWY,
11/1/18,0,All other offenses,,1,13D20,"Other, Unknown",8800-8899,BROADWAY,ST,
11/1/18,0,"Drug, narcotic violations",,1,10H40,"Airplane, Bus,Train Terminal",2100-2199,MAIN,ST,
11/1/18,0,Driving under the influence,,1,19G50,"Parking Lot, Garage",10600-10699,BELLFORT,AVE,W
11/1/18,0,"Destruction, damage, vandalism",,1,8C50,"Residence, Home (Includes Apartment)",7800-7899,HAMLET,ST,
11/1/18,0,Simple assault,,1,22B20,"Residence, Home (Includes Apartment)",16900-16999,NORTHCHASE,DR,
11/1/18,0,All other offenses,,1,2A50,"Highway, Road, Street, Alley",5200-5299,WASHINGTON,AVE,
11/1/18,0,Intimidation,,1,5F20,"Residence, Home (Includes Apartment)",3600-3699,MORNINGVIEW,DR,
11/1/18,0,Driving under the influence,,1,18F60,"Highway, Road, Street, Alley",5900-5999,BURNING TREE,DR,
11/1/18,0,"Destruction, damage, vandalism",,1,7C20,"Residence, Home (Includes Apartment)",5400-5499,RAND,ST,
11/1/18,0,Simple assault,,1,1.50E+11,"Residence, Home (Includes Apartment)",5400-5499,BRAESWOOD,BLVD,N
11/1/18,0,Simple assault,,1,1A10,"Drug Store, Doctors Office, Hospital",1400-1499,ST JOSEPH,PKWY,
11/1/18,0,Simple assault,,1,1.50E+41,"Airplane, Bus,Train Terminal",1600-1699,BELLFORT,AVE,W
11/1/18,0,Motor vehicle theft,,1,3B50,"Highway, Road, Street, Alley",7600-7699,MELROSE,,
11/1/18,0,Theft of motor vehicle parts or accessory,,1,18F30,"Parking Lot, Garage",6000-6099,BEVERLY HILL,ST,
11/1/18,0,All other larceny,,1,22B30,"Hotel, Motel, ETC",400-499,SAM HOUSTON,PKWY,N
11/1/18,0,Intimidation,,1,20G10,"Residence, Home (Includes Apartment)",9800-9899,UNITED,DR,
11/1/18,0,All other larceny,,1,4F30,"Residence, Home (Includes Apartment)",1500-1599,SHERWOOD FOREST,ST,
11/1/18,0,"Credit card, ATM fraud",,1,4F30,"Residence, Home (Includes Apartment)",1500-1599,SHERWOOD FOREST,ST,
11/1/18,0,Simple assault,,1,18F40,"Bar, Nightclub",1600-1699,VOSS,RD,S
11/1/18,0,Theft of motor vehicle parts or accessory,,1,18F50,Auto Dealership New/Used,8600-8699,ANTELOPE,DR,
11/1/18,0,All other larceny,,1,5F20,Convenience Store,8500-8599,HAMMERLY,BLVD,
