Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
01/01/2018,18,Robbery,10H10,"Field, Woods, Forest, Park",200-299,LENOX,-,-,1
01/01/2018,18,Theft,10H10,"Road, Street, or Sidewalk",3700-3799,HOUSTON LAKE,DR,-,1
01/02/2018,14,Theft,10H10,Auto Repair,16700-16799,EASTEX,-,-,1
01/04/2018,08,Burglary,10H10,Auto Repair,4700-4799,HARRISBURG,BLVD,-,1
01/04/2018,18,Theft,10H10,Department or Discount Store,5100-5199,HARRISBURG,BLVD,-,1
01/05/2018,11,Theft,10H10,Residence or House,4700-4799,CAPITOL ST,ST,-,1
01/05/2018,18,Aggravated Assault,10H10,"Road, Street, or Sidewalk",5000-5099,SHERMAN,-,-,1
01/06/2018,10,Theft,10H10,Vacant Building (Commercial),7700-7799,BOWEN,ST,-,1
01/06/2018,16,Theft,10H10,Commercial Parking Lot or Garage,2100-2199,RUNNELS,-,-,1
01/07/2018,10,Burglary,10H10,Garage or Carport,2300-2399,SPERBER LN,-,-,1
01/07/2018,16,Theft,10H10,"Other, Unknown, or Not Listed",1900-1999,RUNNELS,-,-,1
01/10/2018,06,Theft,10H10,Driveway,4200-4299,ENGELKE,-,-,1
01/10/2018,13,Theft,10H10,Other Parking Lot,3900-3999,ADDISON RANCH,LN,-,1
01/11/2018,08,Theft,10H10,Driveway,500-599,N SIDNEY ST,ST,-,1
01/11/2018,23,Burglary,10H10,Restaurant or Cafeteria,3800-3899,HARRISBURG,BLVD,-,1
01/13/2018,21,Theft,10H10,Department or Discount Store,4500-4599,HARRISBURG,BLVD,-,1
01/14/2018,19,Robbery,10H10,"Road, Street, or Sidewalk",2800-2899,CANAL ST. APT.,-,-,1
01/15/2018,19,Theft,10H10,"Road, Street, or Sidewalk",2200-2299,NAVIGATION,-,-,1
01/18/2018,12,Aggravated Assault,10H10,Residence or House,7800-7899,FULTON,ST,-,1
01/21/2018,11,Theft,10H10,Residence or House,200-299,BLANCHE ST,ST,-,1
01/21/2018,12,Theft,10H10,Residence or House,200-299,BLANCHE ST,ST,-,1
01/22/2018,19,Theft,10H10,Social Services or Public Charities,2800-2899,CANAL,ST,-,1
01/22/2018,21,Burglary,10H10,Miscellaneous Business (Non-Specific),400-499,YORK,ST,N,1
01/25/2018,14,Theft,10H10,Commercial Building,5800-5899,HARRISBURG BLVD,BLVD,-,1
01/26/2018,20,Burglary,10H10,Restaurant or Cafeteria,5000-5099,NAVIGATION,BLVD,-,1
01/27/2018,06,Burglary,10H10,Restaurant or Cafeteria,5000-5099,NAVIGATION,BLVD,-,1
01/27/2018,12,Burglary,10H10,Residence or House,200-299,N SUPER ST,ST,-,1
01/28/2018,16,Aggravated Assault,10H10,Residence or House,15300-15399,KINGFIELD,DR,-,1
01/28/2018,16,Theft,10H10,Bar or Night Club Parking Lot,3100-3199,BERING,-,-,1
01/28/2018,21,Burglary,10H10,Restaurant or Cafeteria,3900-3999,CANAL,ST,-,1
01/30/2018,13,Theft,10H10,Miscellaneous Business (Non-Specific),200-299,N SUPER ST,ST,-,1
01/31/2018,03,Burglary,10H10,Residence or House,200-299,N SUPER ST,ST,-,1
01/31/2018,16,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
12/24/2017,09,AutoTheft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,17300-17399,PINE CUT,-,-,1
01/01/2018,21,Robbery,10H20,Service or Gas Station,5100-5199,BELL,ST,-,1
01/02/2018,18,Burglary,10H20,Residence or House,6600-6699,AVE O,-,-,1
01/03/2018,13,Burglary,10H20,Warehouse,6300-6399,CINDY,LN,-,1
01/04/2018,21,Robbery,10H20,Apartment Parking Lot,5000-5099,DEERPATH,DR,-,1
01/04/2018,12,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",1100-1199,WEAVER,-,-,1
01/05/2018,11,Theft,10H20,Residence or House,800-899,DELMAR ST,ST,-,1
01/06/2018,06,Aggravated Assault,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",700-799,OAKHURST,ST,-,1
01/07/2018,19,Burglary,10H20,Apartment,700-799,JACKSON,-,S,1
01/08/2018,15,Theft,10H20,Apartment Parking Lot,4300-4399,COYLE ST,ST,-,1
01/09/2018,09,Burglary,10H20,Auto Repair,4100-4199,POLK,-,-,1
01/09/2018,09,Theft,10H20,Convenience Store,4700-4799,GULF,FWY,-,1
01/10/2018,20,Burglary,10H20,Miscellaneous Business (Non-Specific),3800-3899,LAMAR,-,-,1
01/11/2018,17,Theft,10H20,Warehouse,500-599,PRESTON,ST,-,1
01/12/2018,10,Theft,10H20,Apartment,1900-1999,CULLEN BLVD,BLVD,-,1
01/12/2018,15,Burglary,10H20,Apartment,1300-1399,DIEZ ST,ST,-,1
01/13/2018,20,Robbery,10H20,Convenience Store,4200-4299,POLK,-,-,1
01/14/2018,16,Burglary,10H20,Residence or House,10500-10599,SAGEVALE,LN,-,1
01/15/2018,08,Burglary,10H20,Mobile Home,1700-1799,TELEPHONE,RD,-,1
01/17/2018,10,Burglary,10H20,Restaurant or Cafeteria Parking Lot,5400-5499,LAWNDALE,-,-,1
01/20/2018,15,Theft,10H20,Commercial Parking Lot or Garage,3100-3199,KNOTTY OAKS TRAILS,-,-,1
01/22/2018,08,Theft,10H20,Commercial Parking Lot or Garage,3900-3999,COYLE ST,ST,-,1
01/23/2018,07,Theft,10H20,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD,-,1
01/23/2018,08,Theft,10H20,"Road, Street, or Sidewalk",3800-3899,LAMAR,-,-,1
01/23/2018,15,Theft,10H20,"Road, Street, or Sidewalk",1900-1999,CULLEN BLVD,BLVD,-,1
01/24/2018,03,Robbery,10H20,"Road, Street, or Sidewalk",4800-4899,OAKLAND,-,-,1
01/24/2018,07,Theft,10H20,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD,-,1
01/24/2018,09,Theft,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
01/25/2018,12,Theft,10H20,Bus Station,1700-1799,DUMBLE ST,ST,-,1
01/26/2018,08,Burglary,10H20,Construction Site,3500-3599,OAK FOREST,ST,-,1
01/26/2018,09,Burglary,10H20,Construction Site,11300-11399,SAGEWILLOW LANE,-,-,1
01/26/2018,10,Burglary,10H20,"Pawn, Resale Shop, or Flea Market",800-899,TELEPHONE,RD,-,1
