Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
02/01/2018,04,Burglary,10H10,Restaurant or Cafeteria,2700-2799,NAVIGATION,BLVD,-,1
02/01/2018,04,Burglary,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,BLVD,-,1
02/01/2018,05,Burglary,10H10,Bar or Night Club,4600-4699,MCKINNEY,-,-,1
02/01/2018,05,Burglary,10H10,Residence or House,200-299,EASTWOOD ST,ST,-,1
02/01/2018,07,Burglary,10H10,Miscellaneous Business (Non-Specific),2200-2299,NAVIGATION,BLVD,-,1
02/01/2018,08,Theft,10H10,Residence or House,4900-4999,BRADY ST,ST,-,1
02/02/2018,08,Burglary,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",100-199,N YORK ST,ST,-,1
02/02/2018,15,Theft,10H10,Service or Gas Station,3700-3799,HARRISBURG,BLVD,-,1
02/04/2018,14,Theft,10H10,"Other, Unknown, or Not Listed",500-599,N SUPER ST,ST,-,1
02/06/2018,14,Burglary,10H10,Warehouse,300-399,POST OAK LANE,-,N,1
02/06/2018,16,Theft,10H10,"Road, Street, or Sidewalk",3400-3499,MCASHAN,ST,-,1
02/06/2018,19,Theft,10H10,Apartment,5100-5199,BRADY ST,ST,-,1
02/07/2018,07,AutoTheft,10H10,"Road, Street, or Sidewalk",4700-4799,CAPITOL ST,ST,-,1
02/09/2018,08,AutoTheft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
02/09/2018,16,Burglary,10H10,Residence or House,200-299,GRACE ST,ST,-,1
02/09/2018,20,Aggravated Assault,10H10,Residence or House,5700-5799,CANAL ST,ST,-,1
02/09/2018,23,AutoTheft,10H10,Driveway,200-299,BLANCHE,-,-,1
02/10/2018,18,Burglary,10H10,Residence or House,5300-5399,PO BOX 524005,-,-,1
02/11/2018,03,Robbery,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL ST,ST,-,1
02/13/2018,00,Robbery,10H10,Strip Business Center Parking Lot,1500-1599,MARTIN LAKE,DR,-,1
02/13/2018,09,Theft,10H10,Miscellaneous Business (Non-Specific),700-799,N DRENNAN ST,ST,-,1
02/16/2018,07,Burglary,10H10,Residence or House,100-199,SUPER,ST,-,1
02/16/2018,10,Burglary,10H10,Restaurant or Cafeteria,300-399,LOCKWOOD,DR,S,1
02/18/2018,12,Theft,10H10,"Road, Street, or Sidewalk",300-399,P.O. BOX 2975,-,-,1
02/19/2018,00,Theft,10H10,Bar or Night Club,1800-1899,MAJESTIC FALLS,LN,-,1
02/20/2018,16,Burglary,10H10,Apartment,2500-2599,BLOSSOM BAY,CT,-,1
02/20/2018,19,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,BLVD,-,1
02/21/2018,13,Theft,10H10,Residence or House,200-299,EASTWOOD ST,ST,-,1
02/22/2018,15,Burglary,10H10,Miscellaneous Business (Non-Specific),3600-3699,HARRISBURG,BLVD,-,1
02/23/2018,06,Theft,10H10,Restaurant or Cafeteria Parking Lot,2700-2799,NAVIGATION BLVD,BLVD,-,1
02/23/2018,07,Burglary,10H10,Miscellaneous Business (Non-Specific),3400-3499,TEXAS,ST,-,1
02/23/2018,09,Theft,10H10,Restaurant or Cafeteria,2800-2899,NAVIGATION BLVD,BLVD,-,1
02/23/2018,22,Robbery,10H10,Drug Store or Medical Supply,4500-4599,HARRISBURG,BLVD,-,1
02/27/2018,11,Theft,10H10,"Road, Street, or Sidewalk",2800-2899,NAVIGATION BLVD,BLVD,-,1
01/25/2018,09,AutoTheft,10H20,Apartment Parking Lot,1500-1599,EASTWOOD ST,ST,-,1
02/01/2018,15,Theft,10H20,Restaurant or Cafeteria,800-899,2 FAIRWAY,DR,-,1
02/03/2018,04,Burglary,10H20,Commercial Building,4100-4199,MCKINNEY,ST,-,1
02/04/2018,22,Robbery,10H20,Car Wash,5300-5399,PEASE ST,ST,-,1
02/06/2018,17,Burglary,10H20,Garage or Carport,5100-5199,LEELAND,-,-,1
02/06/2018,11,Burglary,10H20,Residence or House,5200-5299,BELL ST,ST,-,1
02/06/2018,09,Burglary,10H20,Residence or House,4400-4499,POLK,-,-,1
02/07/2018,19,Aggravated Assault,10H20,"Road, Street, or Sidewalk",1300-1399,MUNGER ST,ST,-,1
02/08/2018,15,Theft,10H20,"Other, Unknown, or Not Listed",4300-4399,CLAY ST,ST,-,1
02/11/2018,16,Robbery,10H20,Service or Gas Station,1400-1499,TELEPHONE RD,RD,-,1
02/12/2018,02,Theft,10H20,Service or Gas Station,4700-4799,GULF,FWY,-,1
02/12/2018,18,AutoTheft,10H20,Other Parking Lot,800-899,TELEPHONE RD,RD,-,1
02/13/2018,09,Burglary,10H20,"Vacant Storage Fac (Barn,Garage,Warehouse)",3900-3999,POLK,-,-,1
02/14/2018,17,Aggravated Assault,10H20,Other Parking Lot,4200-4299,LOS ANGELES,-,-,1
02/17/2018,00,Robbery,10H20,Service or Gas Station,4700-4799,GULF,FWY,-,1
02/18/2018,00,Robbery,10H20,Other Parking Lot,1400-1499,MALONE,ST,-,1
02/19/2018,19,Theft,10H20,University or College,1900-1999,CULLEN BLVD,BLVD,-,1
02/21/2018,13,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5300-5399,LEELAND,ST,-,1
02/21/2018,14,Theft,10H20,Bar or Night Club,800-899,DUMBLE ST,ST,-,1
02/21/2018,10,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",900-999,SAINT AUGUSTINE,-,-,1
02/22/2018,13,Theft,10H20,Miscellaneous Business (Non-Specific),1600-1699,DUNMBAL,-,-,1
02/23/2018,01,Robbery,10H20,"Road, Street, or Sidewalk",6100-6199,INDUSTRIAL,WAY,-,1
02/23/2018,08,Burglary,10H20,Auto Repair,3900-3999,POLK,-,-,1
02/24/2018,03,Robbery,10H20,"Road, Street, or Sidewalk",1900-1999,EASTWOOD ST,ST,-,1
02/24/2018,09,AutoTheft,10H20,"Road, Street, or Sidewalk",900-999,MILBY,-,-,1
02/24/2018,19,Burglary,10H20,Garage or Carport,1500-1599,LAWSON,-,-,1
02/25/2018,07,Theft,10H20,Apartment Parking Lot,4200-4299,DALLAS ST,ST,-,1
02/26/2018,13,Theft,10H20,Miscellaneous Business (Non-Specific),4700-4799,BELL,ST,-,1
02/26/2018,08,Burglary,10H20,Residence or House,1400-1499,ELLIOTT ST,ST,-,1
02/28/2018,04,Burglary,10H20,Restaurant or Cafeteria,1100-1199,DUMBLE,ST,-,1
01/14/2018,01,Aggravated Assault,10H30,Apartment,100-199,OAK,DR,-,1
02/01/2018,16,AutoTheft,10H30,Apartment Parking Lot,2400-2499,CAPITOL ST APT 1311,-,-,1
02/02/2018,20,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
02/02/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,HOLMES,RD,S,1
02/02/2018,22,Theft,10H30,Other Parking Lot,2200-2299,DALLAS ST,ST,-,1
02/03/2018,02,Theft,10H30,Bar or Night Club Parking Lot,2100-2199,DALLAS ST,ST,-,1
02/03/2018,02,Theft,10H30,"Road, Street, or Sidewalk",3500-3599,SANTA ROSA,LN,-,1
02/03/2018,09,Burglary,10H30,Construction Site,1400-1499,LOOP,-,N,1
02/03/2018,21,Robbery,10H30,"Road, Street, or Sidewalk",3800-3899,CENTER,ST,-,1
02/04/2018,12,Theft,10H30,Other Parking Lot,1500-1599,SAINT EMANUEL ST,ST,-,1
02/05/2018,11,Theft,10H30,Residence or House,1800-1899,SHEARN,ST,-,1
02/06/2018,20,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
02/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY ST,ST,-,1
02/07/2018,00,Theft,10H30,Commercial Parking Lot or Garage,800-899,SAINT EMANUEL ST,ST,-,1
