Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
03/03/2018,08,Burglary,10H10,Residence or House,100-199,N SIDNEY ST,ST,-,1
03/03/2018,11,Aggravated Assault,10H10,Service or Gas Station,UNK,BRYAN,-,-,1
03/04/2018,11,Theft,10H10,"Church, Synagogue, or Temple Parking Lot",2100-2199,WATER FERN,LN,-,1
03/04/2018,21,Theft,10H10,"Other, Unknown, or Not Listed",2200-2299,RUNNELS,-,-,1
03/06/2018,16,Robbery,10H10,Other Parking Lot,5300-5399,HARRISBURG BLVD,BLVD,-,1
03/07/2018,00,Burglary,10H10,Residence or House,200-299,N ESTELLE ST,ST,-,1
03/07/2018,11,Theft,10H10,Maintenance or Building Services,500-599,SAMPSON,-,-,1
03/13/2018,08,Theft,10H10,Fire Station,2800-2899,NAVIGATION BLVD,BLVD,-,1
03/13/2018,12,Theft,10H10,Construction Site,5600-5699,GRANDPARKWAY,-,W,1
03/13/2018,19,Theft,10H10,Other Parking Lot,500-599,LOCKWOOD DR,-,-,1
03/14/2018,11,Theft,10H10,"Other, Unknown, or Not Listed",2800-2899,CANAL ST,ST,-,1
03/14/2018,21,Theft,10H10,"Utility Company, Electric, Gas, Water",3000-3099,HARRISBURG,BLVD,-,1
03/19/2018,21,Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
03/20/2018,18,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL ST,ST,-,1
03/20/2018,21,Burglary,10H10,"Other, Unknown, or Not Listed",2100-2199,RUNNELS,-,-,1
03/23/2018,15,Burglary,10H10,"Other, Unknown, or Not Listed",2100-2199,RUNNELS,-,-,1
03/23/2018,19,Aggravated Assault,10H10,Driveway,100-199,N YORK ST,ST,-,1
03/24/2018,00,Aggravated Assault,10H10,Light Rail (Metro Rail) Vehicle,5500-5599,HARRISBURG BLVD,BLVD,-,1
03/24/2018,08,Theft,10H10,"Road, Street, or Sidewalk",3200-3299,GARROW,-,-,1
03/24/2018,09,Theft,10H10,"Road, Street, or Sidewalk",UNK,N HUTCHESON ST,ST,-,1
03/24/2018,11,Theft,10H10,"Road, Street, or Sidewalk",3600-3699,COMMERCE ST,ST,-,1
03/25/2018,02,Theft,10H10,Other Parking Lot,5000-5099,NAVIGATION BLVD,BLVD,-,1
03/26/2018,17,Aggravated Assault,10H10,Residence or House,5700-5799,SHERMAN,-,-,1
03/28/2018,11,Theft,10H10,Restaurant or Cafeteria,3400-3499,NAVIGATION BLVD,BLVD,-,1
03/28/2018,19,Burglary,10H10,"Other, Unknown, or Not Listed",2100-2199,RUNNELS,-,-,1
03/29/2018,03,AutoTheft,10H10,Residence or House,300-399,YORK ST,ST,-,1
03/29/2018,09,Aggravated Assault,10H10,Other Parking Lot,100-199,SAMPSON,-,-,1
03/30/2018,11,Theft,10H10,"Road, Street, or Sidewalk",3700-3799,COMMERCE ST,ST,-,1
03/01/2018,05,Theft,10H20,Driveway,5100-5199,LINDSAY,-,-,1
03/01/2018,08,Burglary,10H20,Body Shop,3900-3999,POLK,-,-,1
03/03/2018,16,Theft,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4300-4399,POLK,-,-,1
03/08/2018,13,Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-,1
03/09/2018,17,Theft,10H20,Convenience Store,400-499,PLAZA,DR,-,1
03/09/2018,21,Aggravated Assault,10H20,Convenience Store Parking Lot,4900-4999,UNKNOWN,-,-,1
03/10/2018,07,Burglary,10H20,Residence or House,1500-1599,TELEPHONE RD,RD,-,1
03/10/2018,20,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",8400-8499,GULF,FWY,-,1
03/10/2018,22,Aggravated Assault,10H20,Residence or House,1300-1399,DES JARDINES ST,ST,-,1
03/11/2018,11,Theft,10H20,Grocery Store or Supermarket,4000-4099,P O BOX 710228,-,-,1
03/12/2018,05,Theft,10H20,Service or Gas Station,4700-4799,GULF,FWY,-,1
03/12/2018,09,Theft,10H20,Service or Gas Station,4700-4799,GULF FWY IB,-,-,1
03/13/2018,09,AutoTheft,10H20,Restaurant or Cafeteria Parking Lot,1500-1599,LAWSON,-,-,1
03/15/2018,22,Theft,10H20,Residence or House,5100-5199,STONEWALL,-,-,1
03/16/2018,01,Aggravated Assault,10H20,Apartment,12600-12699,COOPER BREAKS,DR,-,2
03/16/2018,04,Theft,10H20,Driveway,4200-4299,LAMAR,-,-,1
03/17/2018,15,Burglary,10H20,Residence or House,4200-4299,WALKER ST,ST,-,1
03/17/2018,16,Theft,10H20,Residence or House,1400-1499,SCHARPE,-,-,1
03/19/2018,13,Theft,10H20,"Factory, Manufacturing, or Industrial",3900-3999,CLAY,ST,-,1
03/20/2018,14,Burglary,10H20,Residence or House,1400-1499,ELLIOTT STREET,-,-,1
03/21/2018,13,Burglary,10H20,Residence or House,1500-1599,MUNGER ST,ST,-,1
03/23/2018,08,Theft,10H20,Convenience Store,4000-4099,POLK,-,-,1
03/25/2018,22,Theft,10H20,Apartment,1900-1999,CULLEN BLVD,BLVD,-,1
03/25/2018,15,Theft,10H20,Convenience Store,1000-1099,TELEPHONE,RD,-,1
03/27/2018,14,Aggravated Assault,10H20,"Road, Street, or Sidewalk",4000-4099,DALLAS ST,ST,-,1
03/27/2018,18,Burglary,10H20,Residence or House,8900-8999,BRAESMONT,DR,-,1
03/27/2018,21,Burglary,10H20,Residence or House,5100-5199,LINDSAY,ST,-,1
03/27/2018,21,Theft,10H20,Other Parking Lot,5400-5499,RUSTIC MANOR,-,-,1
03/28/2018,01,AutoTheft,10H20,Strip Business Center Parking Lot,4000-4099,POLK,-,-,1
03/29/2018,02,Theft,10H20,Service or Gas Station,5000-5099,POLK,-,-,1
03/29/2018,06,Theft,10H20,Driveway,5200-5299,JEFFERSON ST,ST,-,1
03/31/2018,09,Theft,10H20,Apartment Parking Lot,1900-1999,CULLEN BLVD,BLVD,-,1
03/31/2018,10,Theft,10H20,Apartment Parking Lot,1100-1199,VERRET,LN,-,1
03/31/2018,11,Theft,10H20,Apartment Parking Lot,15000-15099,NUWOOD,LN,-,1
03/01/2018,00,Theft,10H30,"Road, Street, or Sidewalk",1400-1499,23RD,RD,W,1
03/01/2018,12,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,MCKINNEY ST,ST,-,1
03/01/2018,14,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST,-,1
03/01/2018,21,Theft,10H30,Other Parking Lot,2100-2199,COMMERCE ST,ST,-,1
03/02/2018,21,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,DALLAS ST,ST,-,1
03/03/2018,00,Theft,10H30,Bar or Night Club Parking Lot,2200-2299,PRESTON ST,ST,-,1
03/03/2018,01,Theft,10H30,"Road, Street, or Sidewalk",1400-1499,HUTCHINS ST,ST,-,1
03/03/2018,13,Burglary,10H30,Residence or House,3000-3099,DALLAS ST,ST,-,1
03/03/2018,12,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,COMMERCE ST,ST,-,1
03/03/2018,09,Theft,10H30,Bar or Night Club,1500-1599,SAINT EMANUEL ST,ST,-,1
03/03/2018,19,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/04/2018,08,Theft,10H30,Restaurant or Cafeteria,2000-2099,JEFFERSON ST,ST,-,1
03/04/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/04/2018,11,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,CAPITOL ST,ST,-,1
03/04/2018,12,Theft,10H30,"Stadium, Sports Arena, Race Track",2400-2499,CAPITOL ST APT 1216,-,-,1
03/05/2018,00,Theft,10H30,Commercial Parking Lot or Garage,600-699,SAINT EMANUEL,ST,-,1
03/05/2018,15,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST,-,1
03/05/2018,23,Theft,10H30,Commercial Parking Lot or Garage,700-799,CHARTRES ST,ST,-,1
03/05/2018,23,Theft,10H30,"Road, Street, or Sidewalk",6000-6099,LYNWOOD BANKS,LN,-,1
03/06/2018,00,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL ST,ST,-,1
03/06/2018,00,Theft,10H30,"Road, Street, or Sidewalk",8900-8999,DAWN RIDGE,DR,-,1
03/06/2018,13,Burglary,10H30,Residence or House,700-799,LIVE OAK,-,-,1
03/06/2018,22,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,SAINT EMANUEL ST,ST,-,1
03/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,BASTROP ST,ST,-,1
03/08/2018,21,Theft,10H30,Restaurant or Cafeteria Parking Lot,2200-2299,HIDDEN CREEK,-,-,1
03/09/2018,13,Theft,10H30,Other Parking Lot,2100-2199,LAMAR,-,-,1
03/09/2018,14,Theft,10H30,Restaurant or Cafeteria Parking Lot,2000-2099,JEFFERSON ST,ST,-,1
03/10/2018,07,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,DALLAS ST,ST,-,1
03/10/2018,01,Theft,10H30,"Road, Street, or Sidewalk",200-299,RIVEREDGE,DR,-,1
03/10/2018,02,Theft,10H30,"Road, Street, or Sidewalk",1500-1599,BASTROP ST,ST,-,1
03/10/2018,06,Burglary,10H30,"Gym, Recreat, Club House, Indoor Pool",2900-2999,GULF,FWY,-,1
03/11/2018,03,Aggravated Assault,10H30,Bar or Night Club Parking Lot,14100-14199,DEL PAPA,ST,-,3
03/12/2018,07,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL,ST,-,1
03/12/2018,18,AutoTheft,10H30,"Road, Street, or Sidewalk",8300-8399,CHARLESMONT,-,-,1
03/16/2018,17,Theft,10H30,Other Parking Lot,2000-2099,COMMERCE ST,ST,-,1
03/16/2018,09,Theft,10H30,Driveway,1800-1899,SHEARN,ST,-,1
03/17/2018,01,Theft,10H30,"Road, Street, or Sidewalk",3800-3899,SOUTHMORE,BLVD,-,1
03/17/2018,03,Theft,10H30,"Road, Street, or Sidewalk",3600-3699,CLIPPER WINDS,WAY,-,1
03/17/2018,14,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,BELL ST,ST,-,1
03/18/2018,01,Robbery,10H30,Other Parking Lot,2000-2099,RAINY RIVER,-,-,1
03/18/2018,17,AutoTheft,10H30,"Road, Street, or Sidewalk",2700-2799,LEELAND,-,-,1
03/19/2018,02,Burglary,10H30,Commercial Building,2800-2899,GULF,FWY,-,1
03/19/2018,07,Theft,10H30,Other Parking Lot,600-699,WALKER,ST,-,1
03/19/2018,10,Rape,10H30,Apartment,2200-2299,JEFFERSON ST,ST,-,1
03/19/2018,10,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CAPITOL ST,ST,-,1
03/20/2018,19,Theft,10H30,Commercial Parking Lot or Garage,1000-1099,BRITT,LN,-,1
03/21/2018,20,Theft,10H30,Apartment,2200-2299,JEFFERSON ST,ST,-,1
03/22/2018,00,Theft,10H30,"Road, Street, or Sidewalk",900-999,BASTROP ST,ST,-,1
03/22/2018,18,Theft,10H30,Miscellaneous Business (Non-Specific),900-999,SAINT CHARLES,ST,-,1
03/23/2018,06,Burglary,10H30,Restaurant or Cafeteria,1500-1599,EMANCIPATION,AVE,-,1
03/23/2018,20,Aggravated Assault,10H30,"Road, Street, or Sidewalk",2200-2299,POLK,-,-,1
03/24/2018,19,AutoTheft,10H30,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS ST,ST,-,1
03/25/2018,09,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,PRESTON ST,ST,-,1
03/25/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2400-2499,MCKINNEY ST,ST,-,1
03/25/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2500-2599,CAPITOL ST,ST,-,1
03/25/2018,18,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,MCKINNEY ST,ST,-,1
