Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
04/03/2018,14,Theft,10H10,Commercial Building,5900-5999,HARRISBURG,-,-,1
04/05/2018,07,Theft,10H10,"Road, Street, or Sidewalk",300-399,DELMAR,ST,-,1
04/05/2018,17,Theft,10H10,Apartment,2100-2199,RUNNELS,-,-,1
04/05/2018,17,Theft,10H10,Bar or Night Club Parking Lot,2400-2499,NAVIGATION,BLVD,-,1
04/07/2018,04,Aggravated Assault,10H10,Residence or House,3300-3399,NAVIGATION,BLVD,-,1
04/07/2018,13,AutoTheft,10H10,Apartment Parking Lot,UNK,STILES,-,-,1
04/07/2018,23,Aggravated Assault,10H10,Apartment Parking Lot,300-399,EVERTON,ST,N,1
04/09/2018,01,Theft,10H10,Other Parking Lot,4700-4799,HARRISBURG,BLVD,-,1
04/09/2018,11,AutoTheft,10H10,Commercial Parking Lot or Garage,600-699,MILBY,-,-,1
04/10/2018,12,AutoTheft,10H10,Driveway,3900-3999,HARRISBURG,BLVD,-,1
04/11/2018,00,Theft,10H10,Convenience Store,4400-4499,HARRISBURG,BLVD,-,1
04/14/2018,08,Theft,10H10,Warehouse,400-499,BRYAN,-,N,1
04/16/2018,22,Aggravated Assault,10H10,Apartment,1900-1999,RUNNELS,-,-,1
04/17/2018,13,Theft,10H10,"Road, Street, or Sidewalk",UNK,COLBY,ST,-,1
04/17/2018,18,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
04/18/2018,02,Rape,10H10,"Road, Street, or Sidewalk",600-699,YORK,ST,N,1
04/18/2018,09,Theft,10H10,Commercial Parking Lot or Garage,3300-3399,CANAL,ST,-,1
04/18/2018,11,Aggravated Assault,10H10,"Road, Street, or Sidewalk",2300-2399,CANAL,ST,-,1
04/18/2018,13,AutoTheft,10H10,"Road, Street, or Sidewalk",2700-2799,BERING,-,-,1
04/20/2018,14,Burglary,10H10,Residence or House,4200-4299,BERING,-,-,1
04/23/2018,13,Theft,10H10,Residence or House,300-399,EDGEWOOD,ST,-,1
04/25/2018,06,AutoTheft,10H10,Miscellaneous Business (Non-Specific),4600-4699,NAVIGATION,BLVD,-,1
04/25/2018,11,Theft,10H10,Residence or House,4000-4099,GARROW,-,-,1
04/26/2018,00,Burglary,10H10,Residence or House,4300-4399,WILMER,-,-,1
04/28/2018,09,Burglary,10H10,Apartment,5100-5199,SHERMAN,-,-,1
04/28/2018,11,Burglary,10H10,Rental Storage Facility,2100-2199,RUNNELS,-,-,1
04/28/2018,17,Robbery,10H10,Apartment,1900-1999,RUNNELS,-,-,1
04/29/2018,20,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3400-3499,RUNNELS,-,-,1
04/30/2018,11,Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
04/30/2018,14,Aggravated Assault,10H10,Residence or House,2900-2999,ENGELKE,-,-,2
04/01/2018,14,Theft,10H20,Other Parking Lot,1200-1299,SAINT JOSEPH,-,-,1
04/03/2018,19,Theft,10H20,"Road, Street, or Sidewalk",1200-1299,DIEZ,ST,-,1
04/04/2018,09,Theft,10H20,Convenience Store,4700-4799,GULF,FWY,-,1
04/06/2018,19,Burglary,10H20,Residence or House,4700-4799,WOODSIDE,ST,-,1
