Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
6/1/18,0,Simple assault,,1,10H70,"Drug Store, Doctors Office, Hospital",6600-6699,FANNIN,ST,
6/1/18,0,"False pretenses, swindle",,1,11H30,"Residence, Home (Includes Apartment)",8100-8199,MILREDGE,ST,
6/1/18,0,All other offenses,,1,1.70E+41,"Highway, Road, Street, Alley",6400-6499,BELLFORT,AVE,W
6/1/18,0,Motor vehicle theft,,1,13D40,"Highway, Road, Street, Alley",8400-8499,FUQUA,ST,
6/1/18,0,"Burglary, Breaking and Entering",,1,10H40,"Residence, Home (Includes Apartment)",4000-4099,FANNIN,ST,
6/1/18,0,Driving under the influence,,1,20G30,"Highway, Road, Street, Alley",3800-3899,DAIRY ASHFORD,RD,S
6/1/18,0,Disorderly conduct,,1,8C10,"Highway, Road, Street, Alley",10200-10299,HIRSCH,RD,
6/1/18,0,All other offenses,,1,8C10,"Highway, Road, Street, Alley",10200-10299,HIRSCH,RD,
6/1/18,0,"Drug, narcotic violations",,1,18F30,Restaurant,3100-3199,FOUNTAIN VIEW,DR,
6/1/18,0,"Drug, narcotic violations",,1,3B50,"Highway, Road, Street, Alley",7900-7999,HELMERS,ST,
6/1/18,0,Trespass of real property,,1,1A10,"Hotel, Motel, ETC",1700-1799,WALKER,ST,
6/1/18,0,Simple assault,,2,20G40,"Residence, Home (Includes Apartment)",2500-2599,WOODLAND PARK,DR,
6/1/18,0,"Destruction, damage, vandalism",,1,22B40,"Parking Lot, Garage",14600-14699,EASTEX,FWY,
6/1/18,0,Aggravated Assault,,1,1.50E+41,Speciality Store,1600-1699,LOOP,,S
6/1/18,0,Trespass of real property,,1,13D20,"Residence, Home (Includes Apartment)",6000-6099,HOGUE,ST,
6/1/18,0,Driving under the influence,,1,1A40,"Highway, Road, Street, Alley",2500-2599,RIVER OAKS,BLVD,
6/1/18,0,Stolen property offenses,,1,3B50,"Highway, Road, Street, Alley",5300-5399,AIRLINE,DR,
6/1/18,0,"Burglary, Breaking and Entering",,1,13D20,"Residence, Home (Includes Apartment)",8700-8799,BROADWAY,ST,
6/1/18,0,All other offenses,,1,13D20,"Other, Unknown",6400-6499,TELEPHONE,RD,
6/1/18,0,Aggravated Assault,,1,19G40,"Residence, Home (Includes Apartment)",10400-10499,HUNTINGTON VALLEY,DR,
6/1/18,0,Aggravated Assault,,1,20G10,"Residence, Home (Includes Apartment)",9000-9099,TOWN PARK,DR,
6/1/18,0,Motor vehicle theft,,1,12D60,"Residence, Home (Includes Apartment)",16100-16199,SPACE CENTER,BLVD,
6/1/18,0,"Destruction, damage, vandalism",,1,19G40,"Residence, Home (Includes Apartment)",12400-12499,WELLINGTON PARK,DR,
6/1/18,0,Impersonation,,1,1A50,"Residence, Home (Includes Apartment)",4400-4499,WESTHEIMER,RD,
6/1/18,0,Theft from motor vehicle,,1,10H40,"Residence, Home (Includes Apartment)",2900-2999,CHENEVERT,ST,
6/1/18,0,"Burglary, Breaking and Entering",,1,24C10,"Residence, Home (Includes Apartment)",1000-1099,HAMBLEN,RD,
6/1/18,0,All other larceny,,1,24C10,"Residence, Home (Includes Apartment)",1000-1099,HAMBLEN,RD,
6/1/18,0,"Destruction, damage, vandalism",,1,24C10,"Residence, Home (Includes Apartment)",1000-1099,HAMBLEN,RD,
6/1/18,0,Robbery,,1,14D10,"Residence, Home (Includes Apartment)",4000-4099,CORDER,ST,
6/1/18,0,"Destruction, damage, vandalism",,1,14D10,"Residence, Home (Includes Apartment)",4000-4099,CORDER,ST,
6/1/18,0,All other offenses,,1,14D20,"Residence, Home (Includes Apartment)",7500-7599,CULLEN,BLVD,
6/1/18,0,"Counterfeiting, forgery",,1,1.50E+41,"Residence, Home (Includes Apartment)",2300-2399,OLD SPANISH,TRL,
6/1/18,0,"Burglary, Breaking and Entering",,1,3B10,"Residence, Home (Includes Apartment)",3000-3099,GREENHAVEN,LN,
6/1/18,0,All other larceny,,1,14D20,"Residence, Home (Includes Apartment)",7400-7499,CALHOUN,RD,
6/1/18,0,Identify theft,,1,5F20,"Other, Unknown",8700-8799,HAMMERLY,BLVD,
6/1/18,0,All other larceny,,1,18F30,"Residence, Home (Includes Apartment)",3400-3499,SKYLINE VILLAGE,DR,
6/1/18,0,All other larceny,,1,6B60,"Other, Unknown",600-699,GREENS,PKWY,
6/1/18,0,Intimidation,,1,1A20,"Residence, Home (Includes Apartment)",200-299,EMERSON,ST,
6/1/18,0,Intimidation,,1,2A60,"Drug Store, Doctors Office, Hospital",1700-1799,27TH,ST,W
6/1/18,0,"Counterfeiting, forgery",,1,19G10,"Bank, Savings & Loan",8300-8399,SOUTH COURSE,DR,
6/1/18,0,All other larceny,,1,18F20,"Residence, Home (Includes Apartment)",5100-5199,RICHMOND,AVE,
6/1/18,0,Forcible sodomy,,1,7C20,"Residence, Home (Includes Apartment)",3300-3399,LOCKWOOD,DR,E
6/1/18,0,"Counterfeiting, forgery",,1,1A30,"Residence, Home (Includes Apartment)",3700-3799,AUDLEY,ST,
6/1/18,0,Forcible fondling,,1,10H10,"Residence, Home (Includes Apartment)",0-99,SIDNEY,,
6/1/18,0,All other larceny,,1,2A30,"Residence, Home (Includes Apartment)",1300-1399,ASHLAND,ST,
6/1/18,0,Forcible rape,,1,18F40,"Other, Unknown",2200-2299,WESTERLAND,DR,
6/1/18,1,All other offenses,,1,12D70,"Parking Lot, Garage",500-599,EL DORADO,BLVD,
6/1/18,1,"Destruction, damage, vandalism",,1,12D70,"Parking Lot, Garage",500-599,EL DORADO,BLVD,
6/1/18,1,Simple assault,,1,12D70,"Parking Lot, Garage",500-599,EL DORADO,BLVD,
6/1/18,1,All other offenses,,1,18F40,"Highway, Road, Street, Alley",8200-8299,WESTHEIMER,RD,
6/1/18,1,Intimidation,,1,20G70,"Residence, Home (Includes Apartment)",12900-12999,WHITTINGTON,DR,
6/1/18,1,"Drug, narcotic violations",,1,22B20,"Highway, Road, Street, Alley",1100-1199,LANGWICK,DR,
6/1/18,1,Trespass of real property,,1,1A10,"Bar, Nightclub",1900-1999,TRAVIS,ST,
6/1/18,1,All other larceny,,1,1A10,"Bar, Nightclub",1900-1999,TRAVIS,ST,
6/1/18,1,"Destruction, damage, vandalism",,1,1A40,Restaurant,2600-2699,WESTHEIMER,RD,
6/1/18,1,All other larceny,,1,11H30,"Residence, Home (Includes Apartment)",8200-8299,BROCKTON,ST,
6/1/18,1,Aggravated Assault,,1,1.70E+41,"Residence, Home (Includes Apartment)",11300-11399,FONDREN,RD,
6/1/18,1,Weapon law violations,,1,6B40,"Bar, Nightclub",7900-7999,SHEPHERD,DR,N
6/1/18,1,"Counterfeiting, forgery",,1,6B40,"Bar, Nightclub",7900-7999,SHEPHERD,DR,N
6/1/18,1,Aggravated Assault,,1,12D70,"Parking Lot, Garage",200-299,EL DORADO,BLVD,
6/1/18,1,Motor vehicle theft,,1,22B20,"Parking Lot, Garage",1300-1399,GREENS,PKWY,
6/1/18,1,All other larceny,,1,22B20,"Residence, Home (Includes Apartment)",600-699,RUSHCREEK,DR,
6/1/18,1,Theft from motor vehicle,,1,10H80,"Parking Lot, Garage",0-99,CHELSEA,BLVD,
6/1/18,2,All other offenses,,1,3B10,"Service, Gas Station",5800-5899,PINEMONT,DR,
6/1/18,2,Simple assault,,1,12D10,"Residence, Home (Includes Apartment)",10900-10999,CAYMAN MIST,DR,
6/1/18,2,All other offenses,,1,1.60E+21,"Highway, Road, Street, Alley",4900-4999,OREM,DR,W
6/1/18,2,"Burglary, Breaking and Entering",,1,19G10,Convenience Store,9700-9799,CLUB CREEK,DR,
6/1/18,2,Simple assault,,1,12D10,"Residence, Home (Includes Apartment)",500-599,GILPIN,ST,
