Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
8/1/18,0,"False pretenses, swindle",,1,22B40,"Hotel, Motel, ETC",15400-15499,JOHN F KENNEDY,BLVD,
8/1/18,0,"Family offenses, no violence",,1,7C20,"Other, Unknown",5100-5199,CRANE,ST,
8/1/18,0,Human Trafficking/Involuntary Servitude,,1,18F50,"Hotel, Motel, ETC",7200-7299,REGENCY SQUARE,BLVD,
8/1/18,0,All other offenses,,1,8C40,"Highway, Road, Street, Alley",9100-9199,MESA,DR,
8/1/18,0,Simple assault,,1,1.70E+11,"Service, Gas Station",5600-5699,SOUTHWEST,FWY,
8/1/18,0,Weapon law violations,,1,11H30,"Highway, Road, Street, Alley",8300-8399,GULF,FWY,
8/1/18,0,"Drug, narcotic violations",,1,1.70E+41,"Highway, Road, Street, Alley",11200-11299,BRAES FOREST,DR,
8/1/18,0,"Drug, narcotic violations",,1,3B10,"Highway, Road, Street, Alley",3400-3499,ANTOINE,DR,
8/1/18,0,Simple assault,,1,14D20,"Residence, Home (Includes Apartment)",9000-9099,BRANDON,ST,
8/1/18,0,Aggravated Assault,,1,6B10,"Residence, Home (Includes Apartment)",200-299,SPREADING OAK,DR,W
8/1/18,0,Simple assault,,3,22B40,"Residence, Home (Includes Apartment)",15100-15199,VICKERY,DR,
8/1/18,0,Motor vehicle theft,,1,12D10,"Highway, Road, Street, Alley",5100-5199,SHAVER,ST,S
8/1/18,0,"Drug, narcotic violations",,1,18F50,Convenience Store,9200-9299,RICHMOND,AVE,
8/1/18,0,All other offenses,,1,14D10,Park/Playground,5300-5399,GRIGGS,RD,
8/1/18,0,All other offenses,,1,1.70E+41,"Parking Lot, Garage",7500-7599,SANFORD,RD,
8/1/18,0,Simple assault,,1,7C30,"Grocery, Supermarket",8600-8699,JENSEN,DR,
8/1/18,0,"Destruction, damage, vandalism",,1,2A40,"Highway, Road, Street, Alley",1200-1299,WINTER,ST,
8/1/18,0,"Drug, narcotic violations",,1,2A40,"Highway, Road, Street, Alley",1200-1299,WINTER,ST,
8/1/18,0,Drug equipment violations,,1,2A40,"Highway, Road, Street, Alley",1200-1299,WINTER,ST,
8/1/18,0,Trespass of real property,,1,2A40,"Highway, Road, Street, Alley",1200-1299,WINTER,ST,
8/1/18,0,All other offenses,,1,2A40,"Highway, Road, Street, Alley",1200-1299,WINTER,ST,
