Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,0,"Credit card, ATM fraud",,1,5F30,Auto Dealership New/Used,12800-12899,HEMPSTEAD,RD,
9/1/18,0,Intimidation,,1,8C30,"Residence, Home (Includes Apartment)",8100-8199,SNOWDEN,,
9/1/18,0,Weapon law violations,,1,14D10,"Parking Lot, Garage",6600-6699,MADRID,ST,
9/1/18,0,Trespass of real property,,1,10H40,"Service, Gas Station",2100-2199,FANNIN,ST,
9/1/18,0,Driving under the influence,,1,9C20,"Highway, Road, Street, Alley",6100-6199,EAST,FWY,
9/1/18,0,Simple assault,,1,1A10,"Hotel, Motel, ETC",1700-1799,WALKER,ST,
9/1/18,0,"Destruction, damage, vandalism",,1,1.70E+11,"Residence, Home (Includes Apartment)",6700-6799,MULLINS,DR,
9/1/18,0,All other larceny,,1,10H70,Convenience Store,4100-4199,ALMEDA,RD,
9/1/18,0,All other offenses,,1,1.70E+41,Convenience Store,11200-11299,FONDREN,RD,
9/1/18,0,Simple assault,,1,1.70E+41,Convenience Store,11200-11299,FONDREN,RD,
9/1/18,0,"Drug, narcotic violations",,1,14D10,"Highway, Road, Street, Alley",4500-4599,WARD,ST,
9/1/18,0,All other offenses,,1,14D10,"Highway, Road, Street, Alley",3900-3999,YELLOWSTONE,BLVD,
9/1/18,0,"Drug, narcotic violations",,1,2A20,"Highway, Road, Street, Alley",2200-2299,NORTH,FWY,
9/1/18,0,Theft from motor vehicle,,1,2A30,"Residence, Home (Includes Apartment)",800-899,FUGATE,ST,
9/1/18,0,Drunkenness,,1,2A30,"Residence, Home (Includes Apartment)",800-899,FUGATE,ST,
9/1/18,0,Disorderly conduct,,1,8C10,"Highway, Road, Street, Alley",4400-4499,BENNINGTON,ST,
9/1/18,0,Disorderly conduct,,1,5F30,"Highway, Road, Street, Alley",8000-8099,GROW,LN,
9/1/18,0,Intimidation,,1,22B20,Restaurant,200-299,GREENS,RD,W
9/1/18,0,Driving under the influence,,1,14D20,"Highway, Road, Street, Alley",4700-4799,WENDA,ST,
9/1/18,0,All other larceny,,1,19G10,Convenience Store,10900-10999,BEECHNUT,ST,
9/1/18,0,Theft from motor vehicle,,1,18F30,"Highway, Road, Street, Alley",6200-6299,FAIRDALE,LN,
9/1/18,0,Theft from motor vehicle,,1,18F30,"Parking Lot, Garage",5900-5999,RICHMOND,AVE,
9/1/18,0,Simple assault,,1,1A50,"Bar, Nightclub",5000-5099,KIRBY,DR,
9/1/18,0,Intimidation,,2,4F20,Restaurant,2200-2299,GESSNER,RD,
9/1/18,0,Motor vehicle theft,,2,20G10,"Residence, Home (Includes Apartment)",9800-9899,MEADOWGLEN,LN,
9/1/18,0,"Burglary, Breaking and Entering",,1,20G30,"Residence, Home (Includes Apartment)",3200-3299,WOODLAND PARK,DR,
9/1/18,0,Theft from motor vehicle,,1,1.50E+11,"Parking Lot, Garage",5400-5499,BRAESVALLEY,DR,
9/1/18,0,Motor vehicle theft,,1,10H30,"Parking Lot, Garage",2000-2099,LEELAND,,
9/1/18,0,Motor vehicle theft,,1,18F60,"Highway, Road, Street, Alley",8600-8699,SANDS POINT,DR,
9/1/18,0,Theft from motor vehicle,,1,2A50,"Parking Lot, Garage",4300-4399,WASHINGTON,AVE,
9/1/18,0,"Destruction, damage, vandalism",,1,2A60,"Parking Lot, Garage",1000-1099,26TH,ST,W
9/1/18,0,"Credit card, ATM fraud",,1,1.50E+11,"Other, Unknown",9700-9799,HILLCROFT,AVE,
9/1/18,0,"Credit card, ATM fraud",,1,20G70,"Other, Unknown",12700-12799,SANDRI,LN,
9/1/18,0,Theft of motor vehicle parts or accessory,,1,1A50,"Parking Lot, Garage",2900-2999,WEST LANE,DR,
9/1/18,0,All other larceny,,1,7C10,"Bank, Savings & Loan",1000-1099,MEADOW,,
9/1/18,0,"Family offenses, no violence",,1,1.50E+31,"Residence, Home (Includes Apartment)",9500-9599,MEYER FOREST,DR,
9/1/18,0,Forcible rape,,1,8C20,"Residence, Home (Includes Apartment)",7400-7499,LAURA KOPPE,RD,
9/1/18,0,"Counterfeiting, forgery",,1,4F10,"Bank, Savings & Loan",1100-1199,OAK TREE,DR,
9/1/18,0,Aggravated Assault,,1,1.60E+21,"Residence, Home (Includes Apartment)",4300-4399,KNOTTY OAKS,TRL,
9/1/18,0,"Drug, narcotic violations",,1,14D20,"Residence, Home (Includes Apartment)",4800-4899,JARMESE,ST,
9/1/18,0,Intimidation,,1,8C10,"Residence, Home (Includes Apartment)",7000-7099,GLASS,ST,
9/1/18,1,"Drug, narcotic violations",,1,1.50E+21,"Highway, Road, Street, Alley",11300-11399,POST OAK,RD,S
9/1/18,1,All other offenses,,1,,"Highway, Road, Street, Alley",7000-7099,SOUTHWEST,FWY,
9/1/18,1,All other offenses,,1,9C30,"Other, Unknown",10900-10999,BEAUMONT,HWY,
9/1/18,1,Drunkenness,,1,13D20,"Bar, Nightclub",7900-7999,MOSLEY,RD,
9/1/18,1,Driving under the influence,,1,14D20,"Highway, Road, Street, Alley",7600-7699,SCOTT,ST,
9/1/18,1,Aggravated Assault,,1,6B30,"Residence, Home (Includes Apartment)",5800-5899,HOUSTON ROSSLYN,RD,N
9/1/18,1,All other offenses,,1,11H10,"Hotel, Motel, ETC",6100-6199,GULF,FWY,
9/1/18,1,Simple assault,,1,14D20,"Residence, Home (Includes Apartment)",4200-4299,GRASSMERE,ST,
9/1/18,1,All other larceny,,1,1.60E+41,"Residence, Home (Includes Apartment)",14000-14099,FONDREN,RD,
9/1/18,1,"Destruction, damage, vandalism",,1,12D10,"Residence, Home (Includes Apartment)",10900-10999,GULF,FWY,
9/1/18,1,All other offenses,,1,18F30,"Highway, Road, Street, Alley",6000-6099,RICHMOND,AVE,
9/1/18,1,Aggravated Assault,,1,10H10,"Residence, Home (Includes Apartment)",100-199,RILEY,LN,
9/1/18,1,All other offenses,,1,13D10,"Highway, Road, Street, Alley",4500-4599,TELEPHONE,RD,
9/1/18,1,Aggravated Assault,,1,19G20,"Church, Synagogue, Temple",11800-11899,DASHWOOD,DR,
9/1/18,1,"Burglary, Breaking and Entering",,1,19G20,"Church, Synagogue, Temple",11800-11899,DASHWOOD,DR,
9/1/18,1,All other offenses,,1,6B10,"Bar, Nightclub",6100-6199,AIRLINE,DR,
9/1/18,1,Driving under the influence,,1,3B10,"Highway, Road, Street, Alley",12000-12099,NORTHWEST,FWY,
9/1/18,1,Driving under the influence,,1,2A60,"Highway, Road, Street, Alley",700-799,IH 610,FWY,W
9/1/18,1,Drunkenness,,1,1A20,"Bar, Nightclub",2300-2399,BRAZOS,ST,
9/1/18,1,Motor vehicle theft,,1,1A10,"Highway, Road, Street, Alley",1100-1199,CAPITOL,ST,
9/1/18,1,Theft from building,,1,13D20,"Service, Gas Station",7700-7799,BELLFORT,ST,
9/1/18,1,All other larceny,,1,1A20,"Bar, Nightclub",700-799,PACIFIC,,
9/1/18,1,All other larceny,,1,14D10,"Residence, Home (Includes Apartment)",6600-6699,LONDON,ST,
9/1/18,1,"Credit card, ATM fraud",,1,1.60E+21,"Other, Unknown",4100-4199,STAGHORN CORAL,LN,
9/1/18,2,Stolen property offenses,,1,8C10,"Highway, Road, Street, Alley",9500-9599,HOMESTEAD,RD,
9/1/18,2,All other offenses,,1,8C10,"Highway, Road, Street, Alley",9500-9599,HOMESTEAD,RD,
9/1/18,2,All other offenses,,1,14D30,"Highway, Road, Street, Alley",7700-7799,ST LO,RD,
9/1/18,2,Drunkenness,,1,1A10,"Highway, Road, Street, Alley",500-599,MAIN,ST,
