iter	Passed	Remaining
0	1684	419355
1	3235	401166
2	4470	368051
3	5658	347989
4	6848	335585
5	7892	320960
6	9068	314792
7	10153	307141
8	11025	295234
9	12048	289161
10	13068	283947
11	14136	280367
12	15128	275810
13	16025	270145
14	17027	266768
15	18017	263510
16	19103	261831
17	20230	260751
18	21217	257957
19	22202	255327
20	23202	253014
21	24287	251705
22	25327	249975
23	26335	247992
24	27312	245813
25	28337	244137
26	29369	242570
27	30341	240567
28	31556	240485
29	32558	238759
30	33604	237401
31	34571	235519
32	35596	234071
33	36697	233135
34	37796	232178
35	38855	230971
36	39857	229447
37	40889	228119
38	42019	227335
39	43008	225794
40	44106	224834
41	45134	223525
42	46300	222887
43	47315	221523
44	48354	220280
45	49517	219597
46	51018	220356
47	52455	220750
48	53738	220436
49	54870	219483
50	56130	219018
51	57142	217582
52	58282	216634
53	59337	215372
54	60409	214179
55	61486	213007
56	62538	211753
57	63611	210574
58	64807	209801
59	66005	209016
60	67798	210063
61	69248	209979
62	70576	209489
63	71700	208379
64	72939	207596
65	74303	207148
66	75656	206644
67	77050	206223
68	78720	206499
69	80069	205893
70	81709	206000
71	83013	205229
72	84494	204869
73	86114	204811
74	87247	203576
75	88432	202463
76	89494	201072
77	90861	200360
78	92584	200405
79	94509	200831
80	96225	200767
81	97349	199448
82	98506	198200
83	99668	196963
84	100986	196031
85	103293	196978
86	104656	196079
87	105937	195021
88	107376	194242
89	108966	193719
90	110448	192980
91	112035	192408
92	113697	191940
93	114888	190665
94	116125	189468
95	117356	188260
96	118569	187022
97	119895	185960
98	121336	185069
99	122613	183919
100	124181	183199
101	125773	182494
102	127295	181674
103	128609	180547
104	130342	179997
105	131599	178777
106	133515	178436
107	134985	177481
108	136293	176306
109	137590	175114
110	138842	173865
111	140156	172692
112	141941	172088
113	143656	171379
114	145690	171028
115	147820	170757
116	149189	169590
117	150829	168724
118	152499	167878
119	154184	167033
120	155859	166163
121	157522	165269
122	159049	164221
123	160455	163043
124	161694	161694
125	163226	160635
126	164809	159618
127	166118	158331
128	167505	157117
129	169336	156310
130	170778	155134
131	172052	153804
132	173854	152939
133	175119	151595
134	176359	150232
135	178257	149422
136	179699	148219
137	180868	146791
138	182217	145511
139	183682	144321
140	184931	142961
141	186165	141590
142	187584	140360
143	189020	139139
144	190782	138152
145	192561	137166
146	194043	135962
147	195647	134837
148	197309	133746
149	198798	132532
150	200058	131163
151	201642	130006
152	202953	128670
153	204165	127272
154	205424	125905
155	206825	124625
156	208118	123280
157	209181	121801
158	210531	120492
159	212094	119302
160	213533	118040
161	214863	116715
162	216880	115758
163	218581	114621
164	219856	113259
165	221230	111947
166	222920	110792
167	224482	109568
168	226157	108394
169	227864	107230
170	229408	105984
171	231129	104814
172	232850	103638
173	234692	102509
174	235996	101141
175	237115	99696
176	238572	98394
177	239878	97029
178	241826	95919
179	243196	94576
180	244655	93266
181	248033	92671
182	251471	92068
183	252975	90741
184	254327	89358
185	255716	87988
186	257170	86640
187	258707	85318
188	260161	83967
189	261634	82621
190	262856	81196
191	264196	79809
192	265526	78419
193	267310	77161
194	268759	75804
195	270473	74518
196	272008	73179
197	273295	71774
198	274555	70363
199	275992	68998
200	277160	67566
201	278521	66183
202	279654	64747
203	280941	63349
204	282181	61942
205	283357	60523
206	284553	59110
207	285863	57722
208	287217	56344
209	288332	54920
210	289394	53489
211	290983	52157
212	292560	50820
213	294049	49466
214	295863	48163
215	297019	46753
216	298445	45385
217	300249	44073
218	301803	42721
219	303186	41343
220	304471	39953
221	305827	38572
222	307198	37194
223	308601	35819
224	309777	34419
225	310995	33026
226	313359	31750
227	315222	30416
228	316979	29068
229	318449	27691
230	320056	26324
231	321352	24932
232	322943	23562
233	324253	22171
234	325400	20770
235	326695	19380
236	327999	17991
237	329449	16610
238	330763	15223
239	332228	13842
240	333655	12460
241	334905	11071
242	336240	9685
243	337447	8297
244	338613	6910
245	339876	5526
246	341189	4144
247	342393	2761
248	343707	1380
249	345126	0
