iter	Accuracy	MultiClass	F1:use_weights=true;class=0	F1:use_weights=true;class=1	F1:use_weights=true;class=2	F1:use_weights=true;class=3	F1:use_weights=true;class=4	F1:use_weights=true;class=5	F1:use_weights=true;class=6	F1:use_weights=true;class=7	F1:use_weights=true;class=8	F1:use_weights=false;class=0	F1:use_weights=false;class=1	F1:use_weights=false;class=2	F1:use_weights=false;class=3	F1:use_weights=false;class=4	F1:use_weights=false;class=5	F1:use_weights=false;class=6	F1:use_weights=false;class=7	F1:use_weights=false;class=8
0	0.6758072109	0.9842834604	0	0	0	0.6883033615	0	0	0	0.6949651945	0	0	0	0	0.1886515913	0	0	0	0.639521681	0
1	0.6935059185	0.8525997555	0	0	0	0.7118019712	0	0	0	0.7075155719	0	0	0	0	0.2027949116	0	0	0	0.6300652606	0
2	0.6935059185	0.8165388838	0	0	0	0.7118019712	0	0	0	0.7075155719	0	0	0	0	0.2027949116	0	0	0	0.6300652606	0
3	0.6939334059	0.7842698828	0	0	0	0.7116499789	0	0	0	0.7085828702	0	0	0	0	0.2031047773	0	0	0	0.630829272	0
4	0.6965727158	0.771430757	0	0	0	0.7109571982	0	0	0	0.7148022907	0	0	0	0	0.204504978	0	0	0	0.6362862604	0
5	0.6964493626	0.7628940446	0	0	0	0.7096921295	0	0	0	0.7158042105	0	0	0	0	0.2056910268	0	0	0	0.635688795	0
6	0.6964147485	0.7604244557	0	0	0	0.7095803274	0	0	0	0.7158443466	0	0	0	0	0.2056752815	0	0	0	0.6357601851	0
7	0.6974407361	0.7568500396	0	0	0	0.7101124656	0	0	0	0.7174019617	0	0	0	0	0.206487436	0	0	0	0.6364267042	0
8	0.6974858932	0.7562459198	0	0	0	0.7101731567	0	0	0	0.7174340235	0	0	0	0	0.2064926173	0	0	0	0.6364643016	0
9	0.7005593338	0.7538456287	0	0	0	0.7138822799	0	0	0	0.7200486457	0	0	0	0	0.2055666674	0	0	0	0.6411841128	0
10	0.7007427187	0.7520627338	0	0	0	0.7144068675	0	0	0	0.7198999422	0	0	0	0	0.2057147038	0	0	0	0.6407455908	0
11	0.7000906651	0.7513918744	0	0	0	0.7125041326	0	0	0	0.7204479554	0	0	0	0	0.2060219059	0	0	0	0.6410004384	0
12	0.7001859079	0.7503789413	0	0	0	0.7124685511	0	0	0	0.7206831947	0	0	0	0	0.2060196814	0	0	0	0.6410929819	0
13	0.7001956507	0.7501675474	0	0	0	0.7125173872	0	0	0	0.7206550852	0	0	0	0	0.2060168258	0	0	0	0.641064702	0
14	0.7005054247	0.7479565368	0	0	0	0.7121770317	0	0	0	0.7216096859	0	0	0	0	0.2069417841	0	0	0	0.6409497184	0
15	0.7010166084	0.7463261426	0	0	0	0.7134429796	0	0	0	0.7214150317	0	0	0	0	0.2068219375	0	0	0	0.6408672296	0
16	0.7016574076	0.745243781	0	0	0	0.7145370521	0	0	0	0.7216388687	0	0	0	0	0.2074111397	0	0	0	0.6402049363	0
17	0.701852936	0.7450721492	0	0	0	0.7148002544	0	0	0	0.7217775144	0	0	0	0	0.2074256179	0	0	0	0.6403602574	0
18	0.7017816627	0.7446078976	0	0	0	0.7154000276	0	0	0	0.7210384646	0	0	0	0	0.2071735462	0	0	0	0.639843927	0
19	0.7019437203	0.7438424661	0	0	0	0.7154752984	0	0	0	0.72129345	0	0	0	0	0.2074168118	0	0	0	0.6397753619	0
20	0.7017352354	0.7437223671	0	0	0	0.714948983	0	0	0	0.7213936657	0	0	0	0	0.2074557412	0	0	0	0.639828437	0
21	0.7016173061	0.7424884856	0	0	0	0.7150441313	0	0	0	0.7210604693	0	0	0	0	0.2072488374	0	0	0	0.6397144058	0
22	0.7018999223	0.7411656816	0	0	0	0.714645523	0	0	0	0.7220329137	0	0	0	0	0.2074363992	0	0	0	0.6406780442	0
23	0.7030702348	0.7401768136	0	0	0	0.7166695299	0	0	0	0.7224134164	0	0	0	0	0.20796738	0	0	0	0.6403164975	0
24	0.7028603781	0.7394534699	0	0	0	0.7163450732	0	0	0	0.7223057007	0	0	0	0	0.2085434589	0	0	0	0.6391261702	0
25	0.7034030778	0.7387338735	0.01342292572	0	0	0.7164059886	0	0	0	0.723291624	0	0.01195219124	0	0	0.2087403905	0	0	0	0.6400456203	0
26	0.7030948915	0.7372922414	0.01342342502	0	0	0.7160120199	0	0	0	0.7230617502	0	0.01204819277	0	0	0.2079920613	0	0	0	0.6408106252	0
27	0.7028334629	0.7353777034	0.01341568287	0	0	0.7157981732	0	0	0	0.7227463087	0	0.0119047619	0	0	0.2079653885	0	0	0	0.6405239603	0
28	0.7029076197	0.7346126684	0.01340494365	0	0	0.7158387891	0	0	0	0.7228755219	0	0.01183431953	0	0	0.2081379586	0	0	0	0.6401102573	0
29	0.7028677341	0.7343416072	0.01335695014	0	0	0.7157849779	0	0	0	0.7228970604	0	0.01140684411	0	0	0.2081773917	0	0	0	0.6400881138	0
30	0.7037024485	0.733574809	0.01336405654	0	0	0.7167899995	0	0	0	0.7235914266	0	0.01145038168	0	0	0.2091069915	0	0	0	0.6394686121	0
31	0.7039137025	0.7328710008	0.01336391882	0	0	0.7182656098	0	0	0	0.7225470586	0	0.01140684411	0	0	0.2088902659	0	0	0	0.6386271093	0
32	0.7039782181	0.7312111976	0.01336761257	0	0	0.7177965162	0	0	0	0.7231482995	0	0.01147227533	0	0	0.208765058	0	0	0	0.6395959708	0
33	0.7037622778	0.7299744325	0.02207941828	0	0	0.7179508284	0	0	0	0.7225042921	0	0.0184501845	0	0	0.2084336906	0	0	0	0.6392960249	0
34	0.7040783776	0.7291580012	0.02206199191	0	0	0.7184196575	0	0	0	0.72269167	0	0.01834862385	0	0	0.2085769406	0	0	0	0.6393614068	0
35	0.7043074155	0.7288525766	0.0264152944	0	0	0.7185893904	0	0	0	0.7229354019	0	0.0218579235	0	0	0.2090616511	0	0	0	0.6388208659	0
36	0.7040254597	0.7282739943	0.02641462885	0	0	0.717782171	0	0	0	0.7231665359	0	0.02177858439	0	0	0.2089576547	0	0	0	0.6393598377	0
37	0.7045530169	0.7278675994	0.02642222394	0	0	0.7182484308	0	0	0	0.7237809468	0	0.02181818182	0	0	0.208991207	0	0	0	0.6399575411	0
38	0.7045915306	0.7264471879	0.02642222394	0	0	0.7185020875	0	0	0	0.7236054521	0	0.02181818182	0	0	0.2089080545	0	0	0	0.6399042837	0
39	0.7048496312	0.7260544693	0.02642194637	0	0	0.7185698176	0	0	0	0.7240672661	0	0.02177858439	0	0	0.2090136972	0	0	0	0.6403190885	0
40	0.7050699166	0.7249554565	0.02640808941	0	0	0.7186301369	0	0	0	0.724474622	0	0.02169981917	0	0	0.2089503758	0	0	0	0.6406024764	0
41	0.7049047724	0.7247256645	0.02638687197	0	0	0.7190432426	0	0	0	0.7237292408	0	0.02150537634	0	0	0.2087948482	0	0	0	0.6400299975	0
42	0.7051262011	0.7244563748	0.02639393787	0	0	0.7193224978	0	0	0	0.7238975058	0	0.02158273381	0	0	0.2089198422	0	0	0	0.6401188542	0
43	0.7055672047	0.7241180716	0.0350377549	0	0	0.7197972156	0	0	0	0.7242144093	0	0.02862254025	0	0	0.2091281908	0	0	0	0.6401506912	0
44	0.7056555242	0.7239332753	0.03073209762	0	0	0.7198345618	0	0	0	0.7244135455	0	0.02491103203	0	0	0.2091694763	0	0	0	0.6402310608	0
45	0.7058835332	0.7237311683	0.03503593571	0	0	0.7201279602	0	0	0	0.7245336468	0	0.02831858407	0	0	0.2092294105	0	0	0	0.6403414562	0
46	0.706019729	0.7234773658	0.03927788022	0	0	0.7199116274	0	0	0	0.7249936237	0	0.03169014085	0	0	0.2093488286	0	0	0	0.6407898021	0
47	0.7060783385	0.7232746534	0.04360282946	0	0	0.7198644375	0	0	0	0.7250853119	0	0.0350877193	0	0	0.2093579689	0	0	0	0.6410030166	0
48	0.7060089061	0.7231924892	0.03503611319	0	0	0.7198274204	0	0	0	0.7250911037	0	0.02836879433	0	0	0.2093572779	0	0	0	0.6409963828	0
49	0.7059137777	0.7230617146	0.03502676414	0	0	0.7196168216	0	0	0	0.725112831	0	0.02831858407	0	0	0.2093196741	0	0	0	0.6410032564	0
50	0.7059689062	0.7229768804	0.03499001214	0	0	0.7198178598	0	0	0	0.7250360238	0	0.02826855124	0	0	0.2093485277	0	0	0	0.6409988729	0
51	0.7059339491	0.7229137308	0.03498087564	0	0	0.7197699285	0	0	0	0.7250156813	0	0.02821869489	0	0	0.2093428673	0	0	0	0.6410017182	0
52	0.7061513638	0.7224416373	0.03497155605	0	0	0.7199085654	0	0	0	0.725325047	0	0.02816901408	0	0	0.2093726212	0	0	0	0.6414343365	0
53	0.7068948376	0.7220296971	0.04351916305	0	0	0.7210930804	0	0	0	0.7255546211	0	0.03430531732	0	0	0.2096705241	0	0	0	0.6410882617	0
54	0.7067913895	0.7219350293	0.0477800252	0	0	0.7208985266	0	0	0	0.7254796235	0	0.03780068729	0	0	0.2096246277	0	0	0	0.6409949264	0
55	0.7066630188	0.7217072595	0.04776453006	0	0	0.7205814732	0	0	0	0.7255373515	0	0.03697478992	0	0	0.2098819285	0	0	0	0.6407324134	0
56	0.7068972384	0.7215604379	0.04371284951	0	0	0.7209203141	0	0	0	0.72566638	0	0.03466204506	0	0	0.2100235134	0	0	0	0.640773293	0
57	0.7070848532	0.7214327311	0.04370122086	0	0	0.7209258074	0	0	0	0.7260502307	0	0.03454231434	0	0	0.2101016979	0	0	0	0.6411337571	0
58	0.7070607821	0.7213184958	0.0437126285	0	0	0.7207791237	0	0	0	0.7261439923	0	0.03460207612	0	0	0.2100376151	0	0	0	0.6413862126	0
59	0.7071962535	0.7212184343	0.04370209298	0	0	0.7209660903	0	0	0	0.7262376903	0	0.03460207612	0	0	0.2101140234	0	0	0	0.6413822049	0
60	0.7074152568	0.7209434801	0.05219922816	0	0	0.7212617675	0	0	0	0.7262845666	0	0.0412371134	0	0	0.2101828352	0	0	0	0.6412606128	0
61	0.7072856286	0.7207629461	0.05222846723	0	0	0.7209184265	0	0	0	0.7263569956	0	0.04166666667	0	0	0.210144391	0	0	0	0.6413098121	0
62	0.7077391433	0.7205747014	0.05214428872	0	0	0.7213714433	0	0	0	0.7268541129	0	0.04102564103	0	0	0.2104272148	0	0	0	0.6415755246	0
63	0.7078292289	0.7204297074	0.05214689835	0	0	0.7215001909	0	0	0	0.7269096195	0	0.04137931034	0	0	0.2104116653	0	0	0	0.641648264	0
64	0.7078104293	0.7202420226	0.05220077628	0	0	0.7213406897	0	0	0	0.7270151522	0	0.04137931034	0	0	0.2103959662	0	0	0	0.6418568644	0
65	0.7075054686	0.7200367067	0.04357730376	0	0	0.7209310078	0	0	0	0.7269499236	0	0.03442340792	0	0	0.2102600995	0	0	0	0.6419274133	0
66	0.7080277542	0.7198860872	0.0436686309	0	0	0.7215320805	0	0	0	0.7273893933	0	0.0347826087	0	0	0.2104264419	0	0	0	0.6422115602	0
67	0.7079876399	0.7198100571	0.04365788235	0	0	0.7214771527	0	0	0	0.7273656887	0	0.0347826087	0	0	0.2104092692	0	0	0	0.6422063168	0
68	0.7082442543	0.7196859164	0.0436010974	0	0	0.721833196	0	0	0	0.7275511576	0	0.03460207612	0	0	0.2107849687	0	0	0	0.6418838958	0
69	0.707898126	0.7195417897	0.04360090269	0	0	0.721382256	0	0	0	0.7272925146	0	0.03466204506	0	0	0.2105521035	0	0	0	0.6419733758	0
70	0.7081392815	0.7193836222	0.04362625159	0	0	0.7222152268	0	0	0	0.7269447669	0	0.0350877193	0	0	0.2104897328	0	0	0	0.6415871199	0
71	0.7083062045	0.7190711742	0.04789618078	0	0	0.7224813253	0	0	0	0.7269608227	0	0.03852889667	0	0	0.2105644369	0	0	0	0.6414623898	0
72	0.7081435753	0.7187610225	0.04789519873	0	0	0.7225860524	0	0	0	0.7265185921	0	0.03846153846	0	0	0.2104859071	0	0	0	0.6411207785	0
73	0.7083693609	0.7179794335	0.04810530049	0	0	0.7228318469	0	0	0	0.7266722167	0	0.03852889667	0	0	0.2105480655	0	0	0	0.641234569	0
74	0.7085354324	0.7177889848	0.04809350091	0	0	0.722976598	0	0	0	0.7268718502	0	0.03852889667	0	0	0.2107260738	0	0	0	0.6411461149	0
75	0.708536347	0.7176763782	0.04809350091	0	0	0.7228697617	0	0	0	0.7269819416	0	0.03852889667	0	0	0.2107401989	0	0	0	0.641263889	0
76	0.708503156	0.7175404695	0.05236455534	0	0	0.7228448788	0	0	0	0.7268786345	0	0.04203152364	0	0	0.2107168718	0	0	0	0.6412058631	0
77	0.7086460079	0.7174684184	0.05662036045	0	0	0.7229417432	0	0	0	0.7270158474	0	0.04569420035	0	0	0.2107448703	0	0	0	0.6412952624	0
78	0.7086468082	0.7173843875	0.05659063799	0	0	0.7228249755	0	0	0	0.7271437771	0	0.04545454545	0	0	0.2107660119	0	0	0	0.6413904533	0
79	0.7084209082	0.7173395548	0.05651779554	0	0	0.7225665909	0	0	0	0.7269579749	0	0.04545454545	0	0	0.2106594105	0	0	0	0.641340122	0
80	0.7085219941	0.7171898366	0.05660589032	0	0	0.7225838502	0	0	0	0.7271264445	0	0.04553415061	0	0	0.2107529427	0	0	0	0.6413802332	0
81	0.7086007119	0.7168461617	0.06471935641	0	0	0.7228247854	0	0	0	0.7270021198	0	0.04975124378	0	0	0.21072168	0	0	0	0.6414167528	0
82	0.7085054691	0.7167721927	0.06467463095	0	0	0.7226927164	0	0	0	0.7269495524	0	0.05042016807	0	0	0.2106539679	0	0	0	0.6414366171	0
83	0.7085659835	0.716606467	0.064691953	0	0	0.7227636609	0	0	0	0.7269979096	0	0.05059021922	0	0	0.2106633144	0	0	0	0.6415237181	0
84	0.7086409405	0.7165435896	0.06470728662	0	0	0.7228488863	0	0	0	0.7270637709	0	0.05050505051	0	0	0.2106881741	0	0	0	0.6415096082	0
85	0.7086912548	0.7165018438	0.06477207227	0	0	0.7229037328	0	0	0	0.7270970709	0	0.05025125628	0	0	0.2107138633	0	0	0	0.6415439309	0
86	0.7085405405	0.7164693592	0.06477239578	0	0	0.7227223111	0	0	0	0.7269700824	0	0.05033557047	0	0	0.210611907	0	0	0	0.6415481154	0
87	0.7084407122	0.7163901218	0.0646897109	0	0	0.7225232974	0	0	0	0.7269844728	0	0.05025125628	0	0	0.2105473314	0	0	0	0.6416515862	0
88	0.708335841	0.7162599605	0.06475887729	0	0	0.7223554455	0	0	0	0.726921497	0	0.05067567568	0	0	0.2104733728	0	0	0	0.6417457849	0
89	0.7083153265	0.7161909371	0.06474338468	0	0	0.7224195148	0	0	0	0.7268173607	0	0.05067567568	0	0	0.2104959546	0	0	0	0.6416118535	0
90	0.7084192832	0.7160895448	0.06484395474	0	0	0.7226761418	0	0	0	0.7267504452	0	0.05093378608	0	0	0.2105589833	0	0	0	0.6413703603	0
91	0.7083695405	0.7160234136	0.06476042019	0	0	0.7225588362	0	0	0	0.7267855676	0	0.05076142132	0	0	0.210541877	0	0	0	0.6414247522	0
92	0.7083597977	0.7159317218	0.06474372809	0	0	0.7225467168	0	0	0	0.7267807527	0	0.05067567568	0	0	0.2105457718	0	0	0	0.641455949	0
93	0.7083296549	0.7158265655	0.06482721955	0	0	0.7225122802	0	0	0	0.7267344641	0	0.05084745763	0	0	0.2105792482	0	0	0	0.6413490034	0
94	0.7085156692	0.7157687129	0.06484433633	0	0	0.7227148515	0	0	0	0.7269089052	0	0.05110732538	0	0	0.2106516402	0	0	0	0.6414538673	0
95	0.7084838501	0.7157151661	0.06901770569	0	0	0.7225441185	0	0	0	0.7269590497	0	0.05423728814	0	0	0.2105878522	0	0	0	0.6416980044	0
96	0.7085063592	0.7151332183	0.07315318593	0	0	0.7224857411	0	0	0	0.7270129943	0	0.05723905724	0	0	0.2106549184	0	0	0	0.6416176973	0
97	0.7086868733	0.7150194819	0.07320998823	0	0	0.7227194554	0	0	0	0.7271376795	0	0.05762711864	0	0	0.2107413851	0	0	0	0.6416116175	0
98	0.7085892298	0.7148917725	0.07316988653	0	0	0.7228037274	0	0	0	0.7268611342	0	0.05714285714	0	0	0.2106352315	0	0	0	0.6413639281	0
99	0.7087217673	0.714724117	0.07728271194	0	0	0.7228962393	0	0	0	0.7269908515	0	0.06	0	0	0.2106663317	0	0	0	0.6414135816	0
100	0.708721653	0.7146139617	0.0773461726	0	0	0.7228811468	0	0	0	0.7269943279	0	0.06040268456	0	0	0.2106484218	0	0	0	0.6414177571	0
101	0.7086814244	0.7145301829	0.07736835675	0	0	0.7228235845	0	0	0	0.7269657472	0	0.06101694915	0	0	0.2106523217	0	0	0	0.6413367263	0
102	0.7086713387	0.7144701592	0.07736638555	0	0	0.7228322008	0	0	0	0.7269362804	0	0.06070826307	0	0	0.2106367573	0	0	0	0.6413567589	0
103	0.7086923104	0.7143191592	0.07736717882	0	0	0.7227704628	0	0	0	0.7270413314	0	0.06081081081	0	0	0.2106749673	0	0	0	0.6414444527	0
104	0.7089308869	0.7139564698	0.07322417945	0	0	0.7231422859	0	0	0	0.7272128312	0	0.05733558179	0	0	0.2108539281	0	0	0	0.6413714455	0
105	0.7089961012	0.7139125268	0.07320423314	0	0	0.7232540319	0	0	0	0.7272376484	0	0.05704697987	0	0	0.2109185544	0	0	0	0.6413233671	0
106	0.7089460155	0.713746364	0.07310832721	0	0	0.7231768016	0	0	0	0.7272320247	0	0.05610561056	0	0	0.2108866675	0	0	0	0.6413754576	0
107	0.7090865297	0.7136449051	0.07308561961	0	0	0.723446692	0	0	0	0.727251197	0	0.05546492659	0	0	0.2109722736	0	0	0	0.6413836408	0
108	0.7090915726	0.7136128793	0.07310366054	0	0	0.7234467724	0	0	0	0.7272579245	0	0.05537459283	0	0	0.2109769533	0	0	0	0.6413869523	0
109	0.7089914013	0.7135356755	0.0730473861	0	0	0.723302734	0	0	0	0.7272085081	0	0.05510534846	0	0	0.210945936	0	0	0	0.6413786099	0
110	0.7092459333	0.7134716236	0.08127153011	0	0	0.7236263767	0	0	0	0.7272980648	0	0.06138933764	0	0	0.2110235522	0	0	0	0.6413339613	0
111	0.7090611766	0.7133854781	0.0812719573	0	0	0.7232474466	0	0	0	0.7273014009	0	0.06138933764	0	0	0.2108446653	0	0	0	0.6416214594	0
112	0.7090160194	0.7133024747	0.08129158311	0	0	0.7232091048	0	0	0	0.7272430903	0	0.06148867314	0	0	0.2109507954	0	0	0	0.6413701121	0
113	0.7090763051	0.7131894602	0.0812708186	0	0	0.723285113	0	0	0	0.7272941138	0	0.06138933764	0	0	0.2109819533	0	0	0	0.6413885722	0
114	0.7091119481	0.7129988311	0.08124648974	0	0	0.7232768744	0	0	0	0.7273801735	0	0.06099518459	0	0	0.2110343704	0	0	0	0.6414199436	0
115	0.708980948	0.7129288397	0.08124689158	0	0	0.723163415	0	0	0	0.7272250883	0	0.06109324759	0	0	0.21094305	0	0	0	0.6413682029	0
116	0.7092346286	0.7127532343	0.08529553159	0	0	0.7233635616	0	0	0	0.7274979196	0	0.06379585327	0	0	0.210989011	0	0	0	0.6416292474	0
117	0.7094600467	0.7126626788	0.0934749978	0	0	0.723551918	0	0	0	0.727652596	0	0.07028753994	0	0	0.2110654676	0	0	0	0.6417035807	0
118	0.7095775945	0.7124683858	0.08936315341	0	0	0.7238829459	0	0	0	0.7276233875	0	0.06624605678	0	0	0.211164869	0	0	0	0.6415808496	0
119	0.7094932377	0.7123813488	0.08936183389	0	0	0.7236293494	0	0	0	0.7277069675	0	0.06593406593	0	0	0.2111607176	0	0	0	0.6416579393	0
120	0.7095232662	0.7122273063	0.08936409193	0	0	0.7236826498	0	0	0	0.7277144693	0	0.06603773585	0	0	0.2112044071	0	0	0	0.6415914302	0
121	0.7095582233	0.7119857796	0.08926966921	0	0	0.7237748994	0	0	0	0.7277084997	0	0.06542056075	0	0	0.2112066094	0	0	0	0.6416152966	0
122	0.7098171754	0.7118018306	0.09345943892	0	0	0.7239819119	0	0	0	0.7279547103	0	0.06800618238	0	0	0.2113371899	0	0	0	0.641761648	0
123	0.7096509895	0.7115798456	0.09331513108	0	0	0.7238790455	0	0	0	0.7277386564	0	0.067381317	0	0	0.211223077	0	0	0	0.6417270701	0
124	0.7096409038	0.7115445902	0.09333877321	0	0	0.7238669029	0	0	0	0.7277264485	0	0.06748466258	0	0	0.2112136939	0	0	0	0.6417234188	0
125	0.7096635509	0.7114197242	0.0933610239	0	0	0.7239107694	0.008438818565	0	0	0.7276947073	0	0.067381317	0	0	0.2112183854	0.008438818565	0	0	0.6417204579	0
126	0.709718908	0.7113137693	0.09333383985	0	0	0.7239691162	0.008438818565	0	0	0.7277540329	0	0.06676783005	0	0	0.2112441414	0.008438818565	0	0	0.6417728644	0
127	0.709726999	0.7111572509	0.08921202902	0	0	0.7240320804	0.008438818565	0	0	0.7277734315	0	0.06344410876	0	0	0.2112808513	0.008438818565	0	0	0.6417864311	0
128	0.7097423563	0.711078108	0.08930487653	0	0	0.724000659	0.008438818565	0	0	0.7278215563	0	0.06402439024	0	0	0.2112684401	0.008438818565	0	0	0.6418560449	0
129	0.7097926706	0.7109967697	0.08930756711	0	0	0.724051605	0.008438818565	0	0	0.7278732223	0	0.06441717791	0	0	0.2112879456	0.008438818565	0	0	0.6418814498	0
130	0.7099506511	0.710970811	0.0933330859	0	0	0.7241872075	0.008438818565	0	0	0.7280105848	0	0.06676783005	0	0	0.2113567005	0.008438818565	0	0	0.6419480873	0
131	0.7098971743	0.7108357724	0.09727239116	0	0	0.7241180136	0.008438818565	0	0	0.7279299593	0	0.06927710843	0	0	0.2113277981	0.008438818565	0	0	0.6418603793	0
132	0.7098239834	0.7107987215	0.101286947	0	0	0.7239948762	0.008438818565	0	0	0.7278480734	0	0.07207207207	0	0	0.2112756391	0.008438818565	0	0	0.641843301	0
133	0.7098588261	0.710722665	0.101291433	0	0	0.7240438685	0.008438818565	0	0	0.7278702728	0	0.07250755287	0	0	0.2112879456	0.008438818565	0	0	0.6418003405	0
134	0.7098095652	0.7104380994	0.0932866553	0	0	0.7241261937	0.008438818565	0	0	0.7277880008	0	0.0664652568	0	0	0.2113528449	0.008438818565	0	0	0.6417240568	0
135	0.709623755	0.7100540804	0.1014192647	0	0	0.7235541608	0.008438818565	0	0	0.7278636741	0	0.07339449541	0	0	0.2113805458	0.008438818565	0	0	0.6414762175	0
136	0.7094196271	0.7098953056	0.1014188567	0	0	0.7231325657	0.008438818565	0	0	0.7278675392	0	0.07339449541	0	0	0.2112179368	0.008438818565	0	0	0.6418210879	0
137	0.709520027	0.7098485179	0.1014439292	0	0	0.7232575631	0.008438818565	0	0	0.7279444729	0	0.07350689127	0	0	0.2112585092	0.008438818565	0	0	0.6418536091	0
138	0.7097468928	0.709555701	0.105421383	0	0	0.723547483	0.008438818565	0	0	0.7280697318	0	0.0762195122	0	0	0.211266248	0.008438818565	0	0	0.6418815199	0
139	0.7098589159	0.7094235142	0.1093901715	0	0	0.7236674295	0.008438818565	0	0	0.7281273264	0	0.08	0	0	0.2112917213	0.008438818565	0	0	0.6418180896	0
