iter	Passed	Remaining
0	2331	1163236
1	6271	1561498
2	8025	1329488
3	10531	1305940
4	11785	1166798
5	13615	1121034
6	14737	1037960
7	16064	987941
8	17308	944289
9	18402	901739
10	19418	863261
11	20609	838130
12	22411	839569
13	24234	841270
14	25762	832995
15	27530	832789
16	29266	831514
17	30624	820065
18	32306	817856
19	33699	808780
20	35083	800243
21	36401	790912
22	37825	784470
23	38960	772707
24	40543	770327
25	41738	760924
26	43277	758153
27	44765	754623
28	46252	751210
29	47448	743352
30	48586	735060
31	49674	726492
32	50843	719518
33	52472	719176
34	53671	713069
35	55066	709744
36	58277	729251
37	60508	735658
38	62237	735673
39	64211	738427
40	65739	735956
41	67586	737012
42	69702	740788
43	71870	744839
44	73974	747962
45	75876	748872
46	77322	745256
47	78434	738589
48	79603	732673
49	80918	728265
50	82151	723258
51	83783	721829
52	85038	717215
53	86756	716547
54	88316	714559
55	89843	712333
56	91595	711870
57	93347	711374
58	94807	708645
59	96131	704965
60	97641	702697
61	99230	701016
62	100471	696924
63	102055	695251
64	103690	693928
65	105167	691555
66	106663	689333
67	108706	690604
68	110027	687272
69	111419	684432
70	113240	684226
71	114679	681704
72	115929	678109
73	117262	675052
74	120027	680154
75	121745	679213
76	123058	676020
77	124480	673473
78	125710	669923
79	127089	667220
80	128373	664054
81	130064	663011
82	131156	658944
83	132324	655322
84	133556	652070
85	134762	648741
86	136201	646566
87	138129	646697
88	139467	644059
89	141226	643366
90	142532	640613
91	144110	639099
92	146296	640242
93	148020	639323
94	149987	639421
95	151401	637148
96	153249	636695
97	154856	635226
98	156293	633066
99	158035	632141
100	159448	629900
101	160907	627853
102	162115	624853
103	163376	622088
104	164624	619303
105	165905	616667
106	167276	614390
107	168805	612700
108	170311	610932
109	171683	608694
110	173045	606438
111	174494	604498
112	176659	605018
113	178490	604361
114	180431	604053
115	182452	603980
116	184581	604229
117	186093	602439
118	187986	601872
119	189717	600770
120	190907	597966
121	192142	595325
122	193627	593477
123	195123	591664
124	196555	589665
125	198114	588052
126	199345	585478
127	200596	582982
128	201750	580228
129	203031	577858
130	204515	576078
131	205798	573740
132	207116	571518
133	208252	568808
134	209565	566603
135	211019	564787
136	212258	562407
137	213583	560270
138	214872	558049
139	216489	556686
140	218070	555230
141	219496	553377
142	220770	551154
143	222084	549041
144	223531	547267
145	224983	545506
146	226160	543093
147	227604	541329
148	229306	540177
149	230733	538377
150	232647	537708
151	235008	538046
152	236527	536437
153	237812	534304
154	239883	533933
155	241776	533147
156	243797	532628
157	245301	530968
158	246746	529186
159	248063	527134
160	249300	524925
161	250747	523164
162	252322	521672
163	253631	519634
164	254746	517213
165	256011	515107
166	257552	513562
167	258854	511546
168	260105	509436
169	261428	507478
170	262597	505230
171	263880	503213
172	265361	501578
173	266620	499531
174	267874	497481
175	269317	495789
176	270617	493838
177	272029	492097
178	273286	490083
179	274845	488614
180	276171	486733
181	278123	485952
182	280545	485972
183	282004	484312
184	284030	483620
185	285566	482085
186	287292	480869
187	289213	479971
188	290728	478394
189	292135	476641
190	293912	475492
191	295555	474120
192	297846	473777
193	299511	472425
194	300795	470474
195	302308	468887
196	303593	466948
197	305257	465594
198	306848	464127
199	308495	462743
200	310776	462299
201	312369	460822
202	313760	459048
203	315188	457332
204	316845	455948
205	318309	454286
206	319547	452307
207	320812	450371
208	321888	448180
209	323948	447358
210	325261	445500
211	326631	443725
212	328137	442138
213	329757	440703
214	331031	438809
215	332260	436860
216	333485	434914
217	335537	434043
218	336755	432093
219	338503	430822
220	339727	428886
221	340993	427010
222	342670	425648
223	343977	423828
224	345434	422197
225	346708	420345
226	347940	418448
227	349140	416517
228	350421	414691
229	351828	413016
230	353090	411175
231	354461	409464
232	355574	407460
233	356741	405526
234	358038	403745
235	359564	402225
236	360877	400467
237	362068	398579
238	363196	396628
239	364414	394782
240	366064	393405
241	367762	392076
242	369445	390730
243	370659	388889
244	372081	387268
245	373471	385616
246	374836	383941
247	376392	382463
248	377847	380881
249	379483	379483
250	380766	377732
251	382375	376306
252	383549	374452
253	384933	372809
